metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
qua,0,1,1,standard,False,0.5545600624063617,0.5129063696661049,0.4243645071890276,1
qua,1,3,2,standard,False,0.5117485341039367,0.48858477749662604,0.4243340120901899,1
qua,1,5,4,canonical,True,0.5356231258777597,0.49677051604597616,0.41996693854418216,1
qua,1,10,9,others,False,0.54019859994178,0.49674715474079506,0.40533959772302064,1
qua,0,10,10,standard,False,0.551937175210143,0.5015571601107897,0.4106583396944009,1
qua,0,100,100,standard,False,0.5482831870167978,0.4936077078690406,0.4011234568732992,1
qua,0,0.5,0.5,others,False,0.5440495477824547,0.5042886333515972,0.42818492796869656,1
qua,0,2,2,others,False,0.5391827648957574,0.5000853127340644,0.4276590627860581,1
qua,0,5,5,others,False,0.551117185484408,0.5070981712528914,0.4249784493567091,1
qua,5,10,5,others,False,0.5317458211950981,0.4987945460901878,0.40923934635531395,1
qua,20,25,5,others,False,0.5182945049697276,0.5066381222805565,0.4114879214793218,1
qua,-0.1,0.1,0.2,others,False,0.5237701982137708,0.4950058193296826,0.41819293768263344,1
qua,-0.5,0.5,1.0,others,False,0.5242726243040811,0.4999401689172627,0.42057736579809385,1
qua,-1,1,2,others,False,0.5393094697964985,0.4978699478826587,0.4077462148691182,1
qua,-2,2,4,others,False,0.5306385619338603,0.4990342645627203,0.41372759081844884,1
qua,-3,3,6,others,False,0.532912781612002,0.4967973531631378,0.41092906189947437,1
qua,-4,4,8,others,False,0.5292098393974763,0.49308583508205417,0.40679516624584694,1
qua,-5,5,10,others,False,0.5253122020655159,0.48920268437635306,0.4027215446540789,1
qua,-1,3,4,others,False,0.5232184266826954,0.49375485530458807,0.4153640506130366,1
qua,0,1000,1000,others,False,0.5388696007223351,0.49264677931612577,0.39921646656434734,1
