metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
qua,0,1,1,standard,False,0.26157878162437387,0.41418810833107617,0.3378673366417274,1
qua,1,3,2,standard,False,0.4647535088261758,0.43142344951097367,0.3697987363079141,1
qua,1,5,4,canonical,True,0.4943451714172191,0.4506748939679961,0.38023311454866915,1
qua,1,10,9,others,False,0.4901921568645056,0.45607439793521243,0.37169650081430866,1
qua,0,10,10,standard,False,0.4834387415318781,0.45282908073755557,0.3686325050719764,1
qua,0,100,100,standard,False,0.4423544346336437,0.4176747764588998,0.33844686168884347,1
qua,0,0.5,0.5,others,False,0.08733621909032542,0.3748141087679554,0.3132474604775539,1
qua,0,2,2,others,False,0.43725968241304286,0.4192228806228935,0.3454689427802551,1
qua,0,5,5,others,False,0.4998854669439736,0.4423860566389961,0.36966174698565885,1
qua,5,10,5,others,False,0.47793561098420123,0.4862728912494467,0.40002321102951716,1
qua,20,25,5,others,False,0.27271786377263285,0.45028585255387765,0.37609750845068823,1
qua,-0.1,0.1,0.2,others,False,-0.011373453052954938,0.41444805126212214,0.34544756924199244,1
qua,-0.5,0.5,1.0,others,False,0.2478610327163483,0.4035183354369673,0.3322184716002333,1
qua,-1,1,2,others,False,0.3455930936676023,0.4173880568710542,0.3402044325188985,1
qua,-2,2,4,others,False,0.4873464179783253,0.46695435458187323,0.387776745510762,1
qua,-3,3,6,others,False,0.49680035896547453,0.44304333313095856,0.37301480478461696,1
qua,-4,4,8,others,False,0.4904334341060045,0.449598370803432,0.37965905428973695,1
qua,-5,5,10,others,False,0.48227623888040044,0.447919785832967,0.3789367094600214,1
qua,-1,3,4,others,False,0.4905034417746881,0.4576643362472826,0.38817743294469714,1
qua,0,1000,1000,others,False,0.4425023365975178,0.39312794386419164,0.3201737121917958,1
