metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
qua,0,1,1,standard,False,0.33899155742387516,0.45113589447370744,0.3831725980444452,1
qua,1,3,2,standard,False,0.4895666013105293,0.4860304897754161,0.42270731242094167,1
qua,1,5,4,canonical,True,0.5031972117049123,0.4988548079955597,0.4331814063070885,1
qua,1,10,9,others,False,0.48998116062868646,0.5036970137285196,0.4185566924944838,1
qua,0,10,10,standard,False,0.49628062043166893,0.4983679028465555,0.41473711259605234,1
qua,0,100,100,standard,False,0.1015599568980832,0.45940405095694076,0.38748568917184634,1
qua,0,0.5,0.5,others,False,0.15882830005121013,0.42687346205403365,0.3735796529638696,1
qua,0,2,2,others,False,0.44761431235809307,0.45661245484560037,0.39969799340569784,1
qua,0,5,5,others,False,0.4948903069511961,0.503203230339339,0.4332773373160979,1
qua,5,10,5,others,False,0.4799701144725925,0.5020161928711637,0.41809224644376314,1
qua,20,25,5,others,False,0.34887483847026374,0.5205036065409282,0.44007139596431744,1
qua,-0.1,0.1,0.2,others,False,-0.0031766708763508664,0.4142601735881325,0.36023714791648026,1
qua,-0.5,0.5,1.0,others,False,0.271645268747666,0.4099577858202411,0.3598177525923139,1
qua,-1,1,2,others,False,0.3855062982315683,0.4607439509962108,0.39171450022282933,1
qua,-2,2,4,others,False,0.4542353131620937,0.44227591093393265,0.38819645517908885,1
qua,-3,3,6,others,False,0.47653641158475013,0.49026874670585185,0.42707549181673954,1
qua,-4,4,8,others,False,0.47300992712344025,0.4770388671413939,0.41869727053269007,1
qua,-5,5,10,others,False,0.4548785486663396,0.476589377812399,0.41473235030094874,1
qua,-1,3,4,others,False,0.4600175939433532,0.47707815235991385,0.4169248947459155,1
qua,0,1000,1000,others,False,0.45952975410254615,0.47052771564499374,0.38939145814808573,1
