judge,dataset,peak_likert_spearman,delta_vs_canonical
gemma2_9b,summeval,0.477,-0.025
gemma2_9b,newsroom,0.511,+0.024
gemma2_9b,tc,0.669,+0.006
gemma2_9b,wp_a,0.491,+0.038
gemma3_27b,summeval,0.517,+0.007
gemma3_27b,newsroom,0.552,+0.029
gemma3_27b,tc,0.626,+0.018
gemma3_27b,wp_a,0.496,+0.026
qwen3_4b,summeval,0.476,+0.066
qwen3_4b,newsroom,0.347,-0.066
qwen3_4b,tc,0.510,-0.022
qwen3_4b,wp_a,0.313,-0.020
mistral_7b,summeval,0.424,+0.007
mistral_7b,newsroom,0.545,-0.016
mistral_7b,tc,0.566,+0.017
mistral_7b,wp_a,0.351,-0.015
llama31_8b,summeval,0.356,+0.040
llama31_8b,newsroom,0.428,+0.079
llama31_8b,tc,0.455,+0.010
llama31_8b,wp_a,0.291,-0.016
llama31_70b,summeval,0.497,+0.031
llama31_70b,newsroom,0.573,+0.031
llama31_70b,tc,0.612,+0.015
llama31_70b,wp_a,0.501,+0.011
gemini2_flash,summeval,0.509,+0.045
gemini2_flash,newsroom,0.540,+0.118
gemini2_flash,tc,0.601,+0.063
gemini2_flash,wp_a,0.476,+0.137
gemini3_flash,summeval,0.588,+0.034
gemini3_flash,newsroom,0.518,+0.044
gemini3_flash,tc,0.664,+0.072
gemini3_flash,wp_a,0.487,-0.052
gemini31_pro,summeval,0.571,+0.047
gemini31_pro,newsroom,0.442,+0.040
gemini31_pro,tc,0.569,+0.016
gemini31_pro,wp_a,0.493,+0.046
gemma2_9b,OVERALL,0.537,+0.011
gemma3_27b,OVERALL,0.547,+0.020
qwen3_4b,OVERALL,0.411,-0.011
mistral_7b,OVERALL,0.471,-0.002
llama31_8b,OVERALL,0.383,+0.029
llama31_70b,OVERALL,0.546,+0.022
gemini2_flash,OVERALL,0.532,+0.091
gemini3_flash,OVERALL,0.564,+0.025
gemini31_pro,OVERALL,0.519,+0.037
