judge,dataset,likert3_spearman,likert3_kendall,likert5_spearman,likert5_kendall,likert7_spearman,likert7_kendall,cont_min_spearman,cont_min_kendall,cont_max_spearman,cont_max_kendall
gemma2_9b,summeval,0.454,0.414,0.468,0.419,0.466,0.412,0.487,0.427,0.513,0.451
gemma2_9b,newsroom,0.464,0.416,0.485,0.426,0.511,0.449,0.457,0.405,0.555,0.482
gemma2_9b,tc,0.637,0.591,0.657,0.603,0.664,0.607,0.622,0.556,0.673,0.615
gemma2_9b,wp_a,0.437,0.365,0.469,0.385,0.490,0.395,0.403,0.326,0.477,0.381
gemma3_27b,summeval,0.464,0.427,0.509,0.465,0.474,0.427,0.467,0.423,0.540,0.485
gemma3_27b,newsroom,0.474,0.425,0.515,0.454,0.540,0.477,0.490,0.432,0.593,0.519
gemma3_27b,tc,0.499,0.458,0.595,0.543,0.613,0.558,0.593,0.538,0.652,0.592
gemma3_27b,wp_a,0.445,0.372,0.475,0.386,0.496,0.395,0.414,0.338,0.507,0.399
qwen3_4b,summeval,0.471,0.441,0.291,0.266,0.329,0.299,0.368,0.332,0.471,0.424
qwen3_4b,newsroom,0.217,0.197,0.292,0.265,0.322,0.286,0.348,0.306,0.473,0.409
qwen3_4b,tc,0.440,0.410,0.453,0.419,0.510,0.465,0.472,0.435,0.557,0.509
qwen3_4b,wp_a,0.250,0.213,0.192,0.163,0.313,0.260,0.306,0.244,0.382,0.298
mistral_7b,summeval,0.402,0.370,0.405,0.367,0.399,0.357,0.394,0.346,0.432,0.384
mistral_7b,newsroom,0.527,0.474,0.531,0.472,0.537,0.469,0.550,0.478,0.590,0.512
mistral_7b,tc,0.526,0.489,0.525,0.478,0.559,0.505,0.470,0.422,0.581,0.521
mistral_7b,wp_a,0.319,0.266,0.305,0.251,0.337,0.268,0.340,0.268,0.391,0.303
llama31_8b,summeval,0.304,0.279,0.340,0.311,0.339,0.310,0.299,0.272,0.394,0.351
llama31_8b,newsroom,0.414,0.378,0.359,0.325,0.303,0.270,0.329,0.291,0.422,0.375
llama31_8b,tc,0.390,0.364,0.382,0.347,0.438,0.395,0.393,0.360,0.614,0.562
llama31_8b,wp_a,0.252,0.216,0.275,0.230,0.279,0.226,0.258,0.212,0.353,0.276
llama31_70b,summeval,0.437,0.401,0.451,0.403,0.497,0.447,0.420,0.376,0.512,0.456
llama31_70b,newsroom,0.484,0.436,0.542,0.479,0.558,0.492,0.478,0.425,0.587,0.520
llama31_70b,tc,0.580,0.538,0.576,0.528,0.612,0.555,0.572,0.522,0.621,0.569
llama31_70b,wp_a,0.473,0.396,0.471,0.390,0.486,0.392,0.454,0.359,0.518,0.408
gemini2_flash,summeval,0.466,0.429,0.507,0.459,0.474,0.423,0.422,0.378,0.488,0.438
gemini2_flash,newsroom,0.410,0.366,0.457,0.401,0.540,0.480,0.383,0.331,0.534,0.462
gemini2_flash,tc,0.572,0.540,0.576,0.532,0.563,0.514,0.460,0.415,0.599,0.539
gemini2_flash,wp_a,0.432,0.360,0.453,0.369,0.476,0.381,0.305,0.225,0.483,0.371
gemini3_flash,summeval,0.541,0.503,0.577,0.529,0.487,0.447,0.144,0.121,0.563,0.509
gemini3_flash,newsroom,0.451,0.411,0.466,0.418,0.466,0.420,0.289,0.244,0.483,0.421
gemini3_flash,tc,0.656,0.621,0.642,0.598,0.591,0.549,0.269,0.229,0.618,0.573
gemini3_flash,wp_a,0.388,0.325,0.449,0.369,0.416,0.334,0.219,0.163,0.545,0.417
gemini31_pro,summeval,0.551,0.506,0.543,0.484,0.534,0.472,0.333,0.283,0.540,0.486
gemini31_pro,newsroom,0.389,0.352,0.409,0.363,0.426,0.373,0.348,0.302,0.435,0.383
gemini31_pro,tc,0.517,0.487,0.506,0.468,0.562,0.520,0.398,0.349,0.596,0.559
gemini31_pro,wp_a,0.392,0.333,0.464,0.386,0.492,0.398,0.306,0.244,0.472,0.386
