judge,dataset,metric,range_min,range_max,spearman_rho,kendall_tau
gemini3_flash,summeval,coh,0,1,0.585186,0.533382
gemini3_flash,summeval,coh,1,3,0.564412,0.509761
gemini3_flash,summeval,coh,1,5,0.611514,0.533552
gemini3_flash,summeval,coh,1,10,-0.122449,-0.089078
gemini3_flash,summeval,coh,0,10,0.135295,0.120735
gemini3_flash,summeval,coh,0,100,0.354125,0.309800
gemini3_flash,summeval,coh,0,0.5,0.640115,0.548206
gemini3_flash,summeval,coh,0,2,0.549344,0.502099
gemini3_flash,summeval,coh,0,5,0.603006,0.521863
gemini3_flash,summeval,coh,5,10,0.091596,0.083632
gemini3_flash,summeval,coh,20,25,0.645255,0.542570
gemini3_flash,summeval,coh,-0.1,0.1,0.625259,0.534512
gemini3_flash,summeval,coh,-0.5,0.5,0.647676,0.541202
gemini3_flash,summeval,coh,-1,1,0.535496,0.475466
gemini3_flash,summeval,coh,-2,2,0.480275,0.420894
gemini3_flash,summeval,coh,-3,3,0.461784,0.402752
gemini3_flash,summeval,coh,-4,4,0.490160,0.427445
gemini3_flash,summeval,coh,-5,5,0.527003,0.456425
gemini3_flash,summeval,coh,-1,3,0.578100,0.509662
gemini3_flash,summeval,coh,0,1000,0.212390,0.191212
gemini3_flash,summeval,con,0,1,0.690223,0.672717
gemini3_flash,summeval,con,1,3,0.711639,0.691253
gemini3_flash,summeval,con,1,5,0.677213,0.653828
gemini3_flash,summeval,con,1,10,-0.521109,-0.501331
gemini3_flash,summeval,con,0,10,-0.035605,-0.033950
gemini3_flash,summeval,con,0,100,-0.034988,-0.035552
gemini3_flash,summeval,con,0,0.5,0.697550,0.674531
gemini3_flash,summeval,con,0,2,0.711413,0.690999
gemini3_flash,summeval,con,0,5,0.695340,0.672728
gemini3_flash,summeval,con,5,10,-0.213329,-0.205743
gemini3_flash,summeval,con,20,25,0.702629,0.676290
gemini3_flash,summeval,con,-0.1,0.1,0.687359,0.663352
gemini3_flash,summeval,con,-0.5,0.5,0.704512,0.676730
gemini3_flash,summeval,con,-1,1,0.576972,0.562091
gemini3_flash,summeval,con,-2,2,0.550895,0.535963
gemini3_flash,summeval,con,-3,3,0.571627,0.557082
gemini3_flash,summeval,con,-4,4,0.641518,0.625801
gemini3_flash,summeval,con,-5,5,0.574316,0.557834
gemini3_flash,summeval,con,-1,3,0.653709,0.634632
gemini3_flash,summeval,con,0,1000,-0.437771,-0.426635
gemini3_flash,summeval,flu,0,1,0.391234,0.375696
gemini3_flash,summeval,flu,1,3,0.456913,0.438003
gemini3_flash,summeval,flu,1,5,0.454400,0.429342
gemini3_flash,summeval,flu,1,10,0.072117,0.068945
gemini3_flash,summeval,flu,0,10,0.181640,0.164851
gemini3_flash,summeval,flu,0,100,0.287094,0.264746
gemini3_flash,summeval,flu,0,0.5,0.558600,0.533603
gemini3_flash,summeval,flu,0,2,0.401512,0.385060
gemini3_flash,summeval,flu,0,5,0.442490,0.418511
gemini3_flash,summeval,flu,5,10,0.037220,0.038796
gemini3_flash,summeval,flu,20,25,0.500689,0.452209
gemini3_flash,summeval,flu,-0.1,0.1,0.527176,0.494823
gemini3_flash,summeval,flu,-0.5,0.5,0.565558,0.536388
gemini3_flash,summeval,flu,-1,1,0.438539,0.414340
gemini3_flash,summeval,flu,-2,2,0.322200,0.303354
gemini3_flash,summeval,flu,-3,3,0.383760,0.360147
gemini3_flash,summeval,flu,-4,4,0.463624,0.436588
gemini3_flash,summeval,flu,-5,5,0.432483,0.408709
gemini3_flash,summeval,flu,-1,3,0.493059,0.466564
gemini3_flash,summeval,flu,0,1000,0.302521,0.288051
gemini3_flash,summeval,rel,0,1,0.397448,0.357324
gemini3_flash,summeval,rel,1,3,0.492421,0.432851
gemini3_flash,summeval,rel,1,5,0.513122,0.442836
gemini3_flash,summeval,rel,1,10,0.096237,0.089052
gemini3_flash,summeval,rel,0,10,0.270849,0.229885
gemini3_flash,summeval,rel,0,100,0.349542,0.301491
gemini3_flash,summeval,rel,0,0.5,0.533050,0.452956
gemini3_flash,summeval,rel,0,2,0.466681,0.414255
gemini3_flash,summeval,rel,0,5,0.499678,0.430155
gemini3_flash,summeval,rel,5,10,0.147555,0.128123
gemini3_flash,summeval,rel,20,25,0.557491,0.477670
gemini3_flash,summeval,rel,-0.1,0.1,0.528930,0.442264
gemini3_flash,summeval,rel,-0.5,0.5,0.538458,0.444837
gemini3_flash,summeval,rel,-1,1,0.404844,0.353104
gemini3_flash,summeval,rel,-2,2,0.423723,0.369343
gemini3_flash,summeval,rel,-3,3,0.419791,0.357767
gemini3_flash,summeval,rel,-4,4,0.399828,0.344787
gemini3_flash,summeval,rel,-5,5,0.434412,0.370230
gemini3_flash,summeval,rel,-1,3,0.494496,0.430088
gemini3_flash,summeval,rel,0,1000,0.271084,0.238076
gemini3_flash,newsroom,coh,0,1,0.471346,0.435970
gemini3_flash,newsroom,coh,1,3,0.545698,0.496256
gemini3_flash,newsroom,coh,1,5,0.557970,0.501960
gemini3_flash,newsroom,coh,1,10,0.337749,0.305240
gemini3_flash,newsroom,coh,0,10,0.520292,0.451204
gemini3_flash,newsroom,coh,0,100,0.547129,0.481876
gemini3_flash,newsroom,coh,0,0.5,0.625374,0.558216
gemini3_flash,newsroom,coh,0,2,0.522612,0.474271
gemini3_flash,newsroom,coh,0,5,0.592811,0.527223
gemini3_flash,newsroom,coh,5,10,0.306260,0.275144
gemini3_flash,newsroom,coh,20,25,0.370488,0.338220
gemini3_flash,newsroom,coh,-0.1,0.1,0.543112,0.484068
gemini3_flash,newsroom,coh,-0.5,0.5,0.535680,0.470797
gemini3_flash,newsroom,coh,-1,1,0.157426,0.136497
gemini3_flash,newsroom,coh,-2,2,0.342864,0.313970
gemini3_flash,newsroom,coh,-3,3,0.281534,0.254989
gemini3_flash,newsroom,coh,-4,4,0.195075,0.171483
gemini3_flash,newsroom,coh,-5,5,0.370646,0.349411
gemini3_flash,newsroom,coh,-1,3,0.392468,0.357344
gemini3_flash,newsroom,coh,0,1000,0.493806,0.434159
gemini3_flash,newsroom,flu,0,1,0.231141,0.210533
gemini3_flash,newsroom,flu,1,3,0.389741,0.349273
gemini3_flash,newsroom,flu,1,5,0.355406,0.307241
gemini3_flash,newsroom,flu,1,10,0.244027,0.214145
gemini3_flash,newsroom,flu,0,10,0.242651,0.210708
gemini3_flash,newsroom,flu,0,100,0.294633,0.252342
gemini3_flash,newsroom,flu,0,0.5,0.404032,0.355046
gemini3_flash,newsroom,flu,0,2,0.329751,0.298756
gemini3_flash,newsroom,flu,0,5,0.339405,0.295185
gemini3_flash,newsroom,flu,5,10,0.217475,0.192248
gemini3_flash,newsroom,flu,20,25,0.077641,0.063182
gemini3_flash,newsroom,flu,-0.1,0.1,0.322226,0.279650
gemini3_flash,newsroom,flu,-0.5,0.5,0.407096,0.357139
gemini3_flash,newsroom,flu,-1,1,0.192759,0.169328
gemini3_flash,newsroom,flu,-2,2,0.255209,0.226145
gemini3_flash,newsroom,flu,-3,3,0.193378,0.168341
gemini3_flash,newsroom,flu,-4,4,0.208347,0.186653
gemini3_flash,newsroom,flu,-5,5,0.243678,0.217495
gemini3_flash,newsroom,flu,-1,3,0.322015,0.276619
gemini3_flash,newsroom,flu,0,1000,0.284418,0.248047
