judge,dataset,canonical_spearman,canonical_kendall,best_std_range,best_std_spearman,best_std_kendall
gemini2_flash,summeval,0.464,0.418,"[0,1]",0.472,0.426
gemini2_flash,newsroom,0.422,0.362,"[0,1]",0.502,0.434
gemini2_flash,tc,0.538,0.486,"[0,10]",0.532,0.467
gemini2_flash,wp_a,0.339,0.252,"[0,1]",0.460,0.352
gemini2_flash,AVG,0.441,0.380,-,0.492,0.420
gemini31_pro,summeval,0.524,0.467,"[1,3]",0.491,0.444
gemini31_pro,newsroom,0.402,0.361,"[0,100]",0.408,0.356
gemini31_pro,tc,0.553,0.520,"[1,5]",0.559,0.520
gemini31_pro,wp_a,0.447,0.364,"[1,3]",0.409,0.342
gemini31_pro,AVG,0.481,0.428,-,0.467,0.415
gemini3_flash,summeval,0.554,0.499,"[1,3]",0.545,0.503
gemini3_flash,newsroom,0.474,0.410,"[1,3]",0.406,0.363
gemini3_flash,tc,0.592,0.552,"[1,5]",0.602,0.542
gemini3_flash,wp_a,0.538,0.410,"[1,3]",0.466,0.369
gemini3_flash,AVG,0.539,0.468,-,0.505,0.444
gemma2_9b,summeval,0.502,0.444,"[0,10]",0.507,0.439
gemma2_9b,newsroom,0.487,0.430,"[0,10]",0.549,0.475
gemma2_9b,tc,0.663,0.604,"[0,10]",0.648,0.576
gemma2_9b,wp_a,0.453,0.363,"[0,10]",0.464,0.360
gemma2_9b,AVG,0.526,0.460,-,0.542,0.462
gemma3_27b,summeval,0.509,0.462,"[0,1]",0.530,0.475
gemma3_27b,newsroom,0.522,0.463,"[0,1]",0.572,0.497
gemma3_27b,tc,0.608,0.552,"[0,100]",0.628,0.559
gemma3_27b,wp_a,0.470,0.378,"[0,1]",0.500,0.391
gemma3_27b,AVG,0.527,0.464,-,0.558,0.480
gpt54,summeval,0.581,0.517,"[0,100]",0.579,0.498
gpt54,newsroom,0.423,0.370,"[0,1]",0.513,0.441
gpt54,tc,0.622,0.556,"[1,5]",0.649,0.595
gpt54,wp_a,0.493,0.383,"[0,100]",0.510,0.378
gpt54,AVG,0.530,0.457,-,0.563,0.478
llama31_70b,summeval,0.467,0.419,"[0,100]",0.499,0.440
llama31_70b,newsroom,0.542,0.478,"[0,10]",0.578,0.511
llama31_70b,tc,0.597,0.546,"[1,5]",0.606,0.551
llama31_70b,wp_a,0.490,0.389,"[0,1]",0.502,0.394
llama31_70b,AVG,0.524,0.458,-,0.546,0.474
llama31_8b,summeval,0.316,0.286,"[0,1]",0.378,0.338
llama31_8b,newsroom,0.348,0.314,"[1,3]",0.393,0.354
llama31_8b,tc,0.445,0.405,"[0,100]",0.590,0.554
llama31_8b,wp_a,0.307,0.253,"[0,100]",0.343,0.261
llama31_8b,AVG,0.354,0.314,-,0.426,0.377
mistral_7b,summeval,0.417,0.369,"[0,10]",0.420,0.364
mistral_7b,newsroom,0.560,0.486,"[0,10]",0.580,0.500
mistral_7b,tc,0.549,0.493,"[0,10]",0.571,0.502
mistral_7b,wp_a,0.366,0.290,"[0,10]",0.391,0.302
mistral_7b,AVG,0.473,0.410,-,0.491,0.417
opus47,summeval,0.579,0.517,"[0,10]",0.592,0.522
opus47,newsroom,0.585,0.512,"[0,10]",0.595,0.507
opus47,tc,0.742,0.671,"[0,100]",0.739,0.659
opus47,wp_a,0.570,0.453,"[0,100]",0.581,0.450
opus47,AVG,0.619,0.538,-,0.627,0.534
qwen3_4b,summeval,0.410,0.374,"[0,1]",0.466,0.420
qwen3_4b,newsroom,0.413,0.366,"[0,1]",0.450,0.393
qwen3_4b,tc,0.532,0.488,"[0,100]",0.529,0.476
qwen3_4b,wp_a,0.334,0.267,"[0,100]",0.368,0.285
qwen3_4b,AVG,0.422,0.374,-,0.453,0.394
