model,dataset,metric,n_instances_common_all_ranges,correlation_method,"n_instances_pearson_[0,1]__[1,3]","n_instances_spearman_[0,1]__[1,3]","pearson_[0,1]__[1,3]","spearman_[0,1]__[1,3]","n_instances_pearson_[0,1]__[1,5]","n_instances_spearman_[0,1]__[1,5]","pearson_[0,1]__[1,5]","spearman_[0,1]__[1,5]","n_instances_pearson_[0,1]__[0,10]","n_instances_spearman_[0,1]__[0,10]","pearson_[0,1]__[0,10]","spearman_[0,1]__[0,10]","n_instances_pearson_[0,1]__[0,100]","n_instances_spearman_[0,1]__[0,100]","pearson_[0,1]__[0,100]","spearman_[0,1]__[0,100]","n_instances_pearson_[1,3]__[1,5]","n_instances_spearman_[1,3]__[1,5]","pearson_[1,3]__[1,5]","spearman_[1,3]__[1,5]","n_instances_pearson_[1,3]__[0,10]","n_instances_spearman_[1,3]__[0,10]","pearson_[1,3]__[0,10]","spearman_[1,3]__[0,10]","n_instances_pearson_[1,3]__[0,100]","n_instances_spearman_[1,3]__[0,100]","pearson_[1,3]__[0,100]","spearman_[1,3]__[0,100]","n_instances_pearson_[1,5]__[0,10]","n_instances_spearman_[1,5]__[0,10]","pearson_[1,5]__[0,10]","spearman_[1,5]__[0,10]","n_instances_pearson_[1,5]__[0,100]","n_instances_spearman_[1,5]__[0,100]","pearson_[1,5]__[0,100]","spearman_[1,5]__[0,100]","n_instances_pearson_[0,10]__[0,100]","n_instances_spearman_[0,10]__[0,100]","pearson_[0,10]__[0,100]","spearman_[0,10]__[0,100]"
gemini31_pro,newsroom,coh,60,per_instance_avg,33,33,0.807931837503693,0.7953536751500407,42,42,0.8198337409154355,0.8270237277836624,49,49,0.6534577186837904,0.606936805786797,50,50,0.6135112227606846,0.5853067189547455,37,37,0.8271758877070263,0.8213320189381504,37,37,0.7122295258762844,0.6046494903365752,37,37,0.6922474691828702,0.6309373174968832,45,45,0.7977809651485515,0.7003835197901223,43,43,0.7490536161516751,0.678155744979918,59,59,0.6214125661813614,0.5835924401519352
gemini31_pro,newsroom,flu,60,per_instance_avg,56,56,0.7762463465815558,0.7509820079803955,60,60,0.7340121320622048,0.680615779796007,59,59,0.6472302323614362,0.639358694526082,60,60,0.5006197411927207,0.49115039873759225,59,59,0.8175187047852613,0.788274789416803,59,59,0.6830397402588372,0.657955584724645,59,59,0.5271337828914364,0.5369910829981291,60,60,0.7257619912420413,0.7337158443319357,60,60,0.5735580637655012,0.5581196299876395,60,60,0.5197349926663081,0.5239969400058745
gemini31_pro,newsroom,inf,60,per_instance_avg,59,59,0.7513951934638344,0.750321052247846,59,59,0.7727364118212372,0.7648164129621347,58,58,0.7027618676987758,0.7333160512759644,59,59,0.5527486775373438,0.6204013012479408,59,59,0.8143983618325787,0.8130717005447545,59,59,0.6240009539402315,0.6737587200811643,57,57,0.5919896097014453,0.6778456686897529,60,60,0.730443908469932,0.7768121436529449,58,58,0.5841911706093101,0.6845235873300292,59,59,0.5539378766630323,0.6610932454388774
gemini31_pro,newsroom,rel,60,per_instance_avg,31,31,0.5608664943638455,0.5457216335342316,47,47,0.5232136132792465,0.4865332524894145,57,57,0.5410205424184751,0.5238545989374317,57,57,0.4597154250220164,0.49034336731120115,31,31,0.6792864636281015,0.6760665895480172,34,34,0.6366064750526164,0.5905847770917177,34,34,0.5532731546476453,0.5386293142557758,51,51,0.6791236217981353,0.6376293792240294,50,50,0.6090677887554904,0.6002982535463662,59,59,0.599422920582354,0.6181782588700196
gemini31_pro,summeval,coh,99,per_instance_avg,99,99,0.6885612293476971,0.6704365891321992,99,99,0.7288669663448174,0.6946680093166042,99,99,0.6307612943373692,0.5950276308596929,99,99,0.5191302274441204,0.5014223669133101,99,99,0.8111555625324872,0.7884490993614963,99,99,0.6939296922515719,0.6650831342245038,99,99,0.5087730300860286,0.5024989580505812,99,99,0.7111345811850239,0.6574004820633831,99,99,0.5567299346390281,0.5251546980653177,99,99,0.5118142717747121,0.48384817864989754
gemini31_pro,summeval,con,98,per_instance_avg,97,97,0.36974462424871074,0.3725699325715655,94,94,0.44265730116020385,0.440195627862822,98,98,0.29877148687506083,0.3369176031452271,97,97,0.25567213574019515,0.30501622738665746,94,94,0.4905816019463571,0.4904500950957085,97,97,0.34398266399245,0.38631670760549885,98,98,0.25959269756794084,0.3285848763624791,94,94,0.42144574936458606,0.46217527896838173,96,96,0.30393931825333836,0.3730002357257067,98,98,0.23889558262710575,0.2888723504531391
gemini31_pro,summeval,flu,100,per_instance_avg,88,88,0.36752802832438536,0.3523804060011475,99,99,0.31878627658395087,0.26868966645671,100,100,0.20457919168890515,0.23492895401857883,100,100,0.11884133474782085,0.1926207280029719,89,89,0.4716339602120533,0.36874789613380843,90,90,0.3036161338035398,0.32315444709188845,89,89,0.12099591739814582,0.23022548181730504,100,100,0.30480118941841594,0.32360425869641835,100,100,0.10658830369387426,0.2198113054397909,100,100,0.1394624885608476,0.2260024281720548
gemini31_pro,summeval,rel,97,per_instance_avg,97,97,0.34734310512413896,0.347887583595776,97,97,0.39097992436570844,0.38193457209113546,97,97,0.3289384484692297,0.31408338481224635,97,97,0.2773976889695389,0.26648540738864857,97,97,0.5998438255149233,0.5932493126635604,97,97,0.45737126214268775,0.44520235794813934,97,97,0.32716815037680197,0.3572292983247018,97,97,0.5639711635805558,0.537532747527166,97,97,0.41708443182041693,0.43195369304782016,97,97,0.38115395009524733,0.37607396642029145
gemini31_pro,tc,coh,60,per_instance_avg,52,52,0.6785278042138536,0.679155705418964,53,53,0.6424805404472334,0.6403222227905718,47,47,0.644223688999203,0.5978544149175647,49,49,0.4233387735535539,0.4775537783397773,56,56,0.8189526187664687,0.8088188305791203,54,54,0.6670913389897737,0.6360843716456643,54,54,0.4965227778248901,0.5435918363158582,54,54,0.6852945462952479,0.6709691799365147,55,55,0.5720617995874491,0.5454341495149171,57,57,0.46320019035032023,0.48566526330227466
gemini31_pro,tc,eng,60,per_instance_avg,47,47,0.8442933386588707,0.8025689027675523,49,49,0.7461153890930363,0.7224707526032129,53,53,0.7380664468105156,0.6637286095426006,47,47,0.5557006982522306,0.5203110119652691,47,47,0.6904127404366246,0.66882780977861,47,47,0.6154004915647973,0.5664096013690744,48,48,0.6509387622839248,0.6135099496646861,53,53,0.63060496761251,0.6065900224980857,49,49,0.5859142491736812,0.5651561217120217,53,53,0.4883622188918679,0.4816070478535806
