judge,dataset,peak_likert_spearman,delta_vs_canonical
gemma2_9b,summeval,0.480,-0.021
gemma2_9b,newsroom,0.521,+0.034
gemma2_9b,tc,0.623,-0.041
gemma2_9b,wp_a,0.491,+0.038
gemma3_27b,summeval,0.511,+0.002
gemma3_27b,newsroom,0.527,+0.005
gemma3_27b,tc,0.579,-0.029
gemma3_27b,wp_a,0.496,+0.026
qwen3_4b,summeval,0.301,-0.109
qwen3_4b,newsroom,0.314,-0.099
qwen3_4b,tc,0.443,-0.089
qwen3_4b,wp_a,0.313,-0.020
mistral_7b,summeval,0.422,+0.005
mistral_7b,newsroom,0.539,-0.022
mistral_7b,tc,0.492,-0.057
mistral_7b,wp_a,0.351,-0.015
llama31_8b,summeval,0.290,-0.026
llama31_8b,newsroom,0.322,-0.027
llama31_8b,tc,0.398,-0.047
llama31_8b,wp_a,0.291,-0.016
llama31_70b,summeval,0.500,+0.033
llama31_70b,newsroom,0.565,+0.023
llama31_70b,tc,0.568,-0.029
llama31_70b,wp_a,0.501,+0.011
gemini2_flash,summeval,0.502,+0.038
gemini2_flash,newsroom,0.533,+0.111
gemini2_flash,tc,0.529,-0.009
gemini2_flash,wp_a,0.476,+0.137
gemini3_flash,summeval,0.539,-0.014
gemini3_flash,newsroom,0.528,+0.055
gemini3_flash,tc,0.606,+0.013
gemini3_flash,wp_a,0.487,-0.052
gemini31_pro,summeval,0.567,+0.044
gemini31_pro,newsroom,0.432,+0.030
gemini31_pro,tc,0.502,-0.051
gemini31_pro,wp_a,0.493,+0.046
gemma2_9b,OVERALL,0.529,+0.002
gemma3_27b,OVERALL,0.528,+0.001
qwen3_4b,OVERALL,0.343,-0.079
mistral_7b,OVERALL,0.451,-0.022
llama31_8b,OVERALL,0.325,-0.029
llama31_70b,OVERALL,0.533,+0.010
gemini2_flash,OVERALL,0.510,+0.069
gemini3_flash,OVERALL,0.540,+0.000
gemini31_pro,OVERALL,0.498,+0.017
