judge,dataset,likert3_spearman,likert3_kendall,likert5_spearman,likert5_kendall,likert7_spearman,likert7_kendall,cont_min_spearman,cont_min_kendall,cont_max_spearman,cont_max_kendall
gemma2_9b,summeval,0.460,0.408,0.470,0.406,0.474,0.405,0.487,0.427,0.513,0.451
gemma2_9b,newsroom,0.465,0.393,0.497,0.409,0.517,0.423,0.457,0.405,0.555,0.482
gemma2_9b,tc,0.593,0.521,0.608,0.515,0.612,0.515,0.622,0.556,0.673,0.615
gemma2_9b,wp_a,0.437,0.365,0.469,0.385,0.490,0.395,0.403,0.326,0.477,0.381
gemma3_27b,summeval,0.455,0.410,0.501,0.444,0.464,0.404,0.467,0.423,0.540,0.485
gemma3_27b,newsroom,0.452,0.380,0.504,0.416,0.516,0.425,0.490,0.432,0.593,0.519
gemma3_27b,tc,0.486,0.422,0.561,0.471,0.572,0.477,0.593,0.538,0.652,0.592
gemma3_27b,wp_a,0.445,0.372,0.475,0.386,0.496,0.395,0.414,0.338,0.507,0.399
qwen3_4b,summeval,0.255,0.232,0.205,0.184,0.278,0.249,0.368,0.332,0.471,0.424
qwen3_4b,newsroom,0.272,0.232,0.247,0.210,0.304,0.250,0.348,0.306,0.473,0.409
qwen3_4b,tc,0.385,0.341,0.384,0.330,0.443,0.373,0.472,0.435,0.557,0.509
qwen3_4b,wp_a,0.250,0.213,0.192,0.163,0.313,0.260,0.306,0.244,0.382,0.298
mistral_7b,summeval,0.395,0.355,0.406,0.355,0.406,0.345,0.394,0.346,0.432,0.384
mistral_7b,newsroom,0.513,0.433,0.517,0.429,0.535,0.433,0.550,0.478,0.590,0.512
mistral_7b,tc,0.473,0.415,0.470,0.397,0.479,0.395,0.470,0.422,0.581,0.521
mistral_7b,wp_a,0.319,0.266,0.305,0.251,0.337,0.268,0.340,0.268,0.391,0.303
llama31_8b,summeval,0.241,0.218,0.210,0.188,0.287,0.255,0.299,0.272,0.394,0.351
llama31_8b,newsroom,0.291,0.252,0.284,0.242,0.247,0.206,0.329,0.291,0.422,0.375
llama31_8b,tc,0.292,0.259,0.365,0.307,0.387,0.323,0.393,0.360,0.614,0.562
llama31_8b,wp_a,0.252,0.216,0.275,0.230,0.279,0.226,0.258,0.212,0.353,0.276
llama31_70b,summeval,0.437,0.392,0.460,0.401,0.491,0.425,0.420,0.376,0.512,0.456
llama31_70b,newsroom,0.474,0.402,0.526,0.436,0.560,0.462,0.478,0.425,0.587,0.520
llama31_70b,tc,0.531,0.466,0.527,0.447,0.558,0.466,0.572,0.522,0.621,0.569
llama31_70b,wp_a,0.473,0.396,0.471,0.390,0.486,0.392,0.454,0.359,0.518,0.408
gemini2_flash,summeval,0.438,0.392,0.497,0.433,0.477,0.411,0.422,0.378,0.488,0.438
gemini2_flash,newsroom,0.389,0.329,0.463,0.377,0.533,0.432,0.383,0.331,0.534,0.462
gemini2_flash,tc,0.483,0.428,0.495,0.419,0.529,0.438,0.460,0.415,0.599,0.539
gemini2_flash,wp_a,0.432,0.360,0.453,0.369,0.476,0.381,0.305,0.225,0.483,0.371
gemini3_flash,summeval,0.411,0.367,0.539,0.477,0.475,0.419,0.144,0.121,0.563,0.509
gemini3_flash,newsroom,0.429,0.362,0.500,0.409,0.473,0.386,0.289,0.244,0.483,0.421
gemini3_flash,tc,0.591,0.525,0.598,0.512,0.569,0.473,0.269,0.229,0.618,0.573
gemini3_flash,wp_a,0.388,0.325,0.449,0.369,0.416,0.334,0.219,0.163,0.545,0.417
gemini31_pro,summeval,0.543,0.485,0.555,0.478,0.542,0.460,0.333,0.283,0.540,0.486
gemini31_pro,newsroom,0.339,0.290,0.400,0.330,0.415,0.336,0.348,0.302,0.435,0.383
gemini31_pro,tc,0.475,0.424,0.491,0.418,0.490,0.415,0.398,0.349,0.596,0.559
gemini31_pro,wp_a,0.392,0.333,0.464,0.386,0.492,0.398,0.306,0.244,0.472,0.386
