judge,dataset,sel@0.1,sel@0.2,sel@0.3,sel@0.4,sel@0.5,can@0.1,can@0.2,can@0.3,can@0.4,can@0.5,d@0.1,d@0.2,d@0.3,d@0.4,d@0.5
Gemma-2-9B,summeval,0.503,0.504,0.504,0.504,0.504,0.502,0.502,0.501,0.502,0.501,+0.002,+0.002,+0.002,+0.003,+0.003
Gemma-2-9B,newsroom,0.534,0.540,0.541,0.541,0.540,0.487,0.487,0.487,0.488,0.487,+0.047,+0.053,+0.054,+0.054,+0.053
Gemma-2-9B,tc,0.653,0.654,0.655,0.656,0.655,0.663,0.664,0.664,0.664,0.664,-0.010,-0.009,-0.009,-0.007,-0.009
Gemma-2-9B,wp_a,0.460,0.464,0.466,0.466,0.466,0.454,0.453,0.454,0.453,0.453,+0.006,+0.011,+0.012,+0.013,+0.014
Gemma-3-27B,summeval,0.525,0.528,0.529,0.530,0.531,0.509,0.509,0.509,0.509,0.509,+0.016,+0.018,+0.020,+0.021,+0.022
Gemma-3-27B,newsroom,0.563,0.571,0.576,0.581,0.583,0.522,0.522,0.522,0.522,0.521,+0.041,+0.049,+0.054,+0.059,+0.061
Gemma-3-27B,tc,0.625,0.627,0.629,0.630,0.632,0.609,0.609,0.609,0.608,0.608,+0.017,+0.018,+0.020,+0.022,+0.023
Gemma-3-27B,wp_a,0.487,0.492,0.494,0.495,0.495,0.470,0.469,0.470,0.469,0.469,+0.017,+0.023,+0.024,+0.025,+0.026
Qwen3-4B,summeval,0.452,0.455,0.457,0.457,0.459,0.410,0.410,0.410,0.410,0.409,+0.042,+0.045,+0.047,+0.047,+0.050
Qwen3-4B,newsroom,0.446,0.454,0.457,0.458,0.460,0.413,0.413,0.413,0.413,0.414,+0.033,+0.041,+0.044,+0.045,+0.046
Qwen3-4B,tc,0.523,0.527,0.532,0.533,0.536,0.533,0.532,0.534,0.532,0.534,-0.010,-0.005,-0.002,+0.001,+0.002
Qwen3-4B,wp_a,0.356,0.359,0.362,0.362,0.362,0.334,0.334,0.335,0.334,0.335,+0.022,+0.025,+0.027,+0.027,+0.028
Mistral-7B,summeval,0.419,0.421,0.422,0.422,0.422,0.417,0.417,0.417,0.417,0.417,+0.002,+0.004,+0.004,+0.005,+0.005
Mistral-7B,newsroom,0.574,0.577,0.579,0.581,0.581,0.561,0.561,0.561,0.561,0.561,+0.013,+0.016,+0.019,+0.020,+0.021
Mistral-7B,tc,0.558,0.560,0.560,0.561,0.561,0.549,0.549,0.549,0.549,0.549,+0.009,+0.011,+0.011,+0.011,+0.012
Mistral-7B,wp_a,0.377,0.377,0.379,0.379,0.379,0.366,0.365,0.366,0.366,0.366,+0.011,+0.011,+0.013,+0.013,+0.013
LLaMA-3.1-8B,summeval,0.364,0.370,0.375,0.379,0.381,0.316,0.316,0.315,0.316,0.316,+0.048,+0.054,+0.060,+0.063,+0.066
LLaMA-3.1-8B,newsroom,0.380,0.382,0.384,0.384,0.385,0.351,0.351,0.351,0.351,0.351,+0.029,+0.031,+0.032,+0.033,+0.034
LLaMA-3.1-8B,tc,0.510,0.513,0.508,0.510,0.513,0.469,0.470,0.469,0.470,0.472,+0.040,+0.043,+0.040,+0.041,+0.042
LLaMA-3.1-8B,wp_a,0.320,0.322,0.325,0.326,0.328,0.307,0.307,0.307,0.307,0.307,+0.013,+0.015,+0.018,+0.020,+0.021
LLaMA-3.1-70B,summeval,0.496,0.502,0.505,0.506,0.507,0.466,0.466,0.467,0.466,0.466,+0.030,+0.036,+0.039,+0.040,+0.041
LLaMA-3.1-70B,newsroom,0.563,0.569,0.572,0.573,0.573,0.542,0.542,0.543,0.542,0.541,+0.021,+0.027,+0.029,+0.030,+0.032
LLaMA-3.1-70B,tc,0.595,0.596,0.595,0.596,0.597,0.597,0.598,0.597,0.598,0.598,-0.002,-0.002,-0.002,-0.002,-0.001
LLaMA-3.1-70B,wp_a,0.494,0.498,0.501,0.504,0.504,0.490,0.490,0.489,0.491,0.490,+0.004,+0.008,+0.011,+0.013,+0.014
Gemini-2.0-Flash,summeval,0.478,0.481,0.482,0.483,0.483,0.469,0.469,0.469,0.469,0.469,+0.009,+0.012,+0.013,+0.014,+0.014
Gemini-2.0-Flash,newsroom,0.509,0.520,0.525,0.527,0.528,0.428,0.428,0.428,0.428,0.426,+0.081,+0.092,+0.097,+0.100,+0.102
Gemini-2.0-Flash,tc,0.569,0.580,0.590,0.593,0.598,0.548,0.549,0.548,0.547,0.548,+0.020,+0.031,+0.042,+0.046,+0.049
Gemini-2.0-Flash,wp_a,0.433,0.441,0.446,0.448,0.449,0.310,0.310,0.310,0.311,0.310,+0.124,+0.131,+0.136,+0.137,+0.139
Gemini-3-Flash,summeval,0.559,0.562,0.563,0.565,0.566,0.564,0.564,0.564,0.564,0.564,-0.006,-0.002,-0.001,+0.000,+0.002
Gemini-3-Flash,newsroom,0.453,0.468,0.473,0.477,0.477,0.487,0.487,0.487,0.488,0.487,-0.034,-0.019,-0.014,-0.011,-0.010
Gemini-3-Flash,tc,0.614,0.618,0.619,0.616,0.617,0.617,0.617,0.618,0.617,0.618,-0.003,+0.000,+0.001,-0.001,-0.001
Gemini-3-Flash,wp_a,0.465,0.475,0.479,0.482,0.483,0.485,0.485,0.485,0.485,0.484,-0.020,-0.010,-0.006,-0.003,-0.001
Gemini 3.1 Pro,summeval,0.515,0.529,0.533,0.537,0.538,0.524,0.524,0.524,0.524,0.524,-0.009,+0.005,+0.010,+0.012,+0.014
Gemini 3.1 Pro,newsroom,0.388,0.388,0.389,0.391,0.391,0.402,0.402,0.403,0.403,0.402,-0.015,-0.014,-0.014,-0.011,-0.010
Gemini 3.1 Pro,tc,0.523,0.533,0.540,0.543,0.550,0.553,0.553,0.553,0.553,0.553,-0.030,-0.020,-0.013,-0.010,-0.003
Gemini 3.1 Pro,wp_a,0.408,0.419,0.427,0.436,0.442,0.447,0.447,0.446,0.445,0.447,-0.039,-0.028,-0.019,-0.010,-0.005
GPT 5.4,summeval,0.575,0.575,0.575,0.576,0.576,0.581,0.581,0.581,0.581,0.581,-0.006,-0.006,-0.006,-0.006,-0.006
GPT 5.4,newsroom,0.493,0.508,0.516,0.520,0.524,0.423,0.423,0.424,0.423,0.424,+0.070,+0.085,+0.092,+0.097,+0.101
GPT 5.4,tc,0.640,0.640,0.641,0.640,0.641,0.622,0.622,0.623,0.622,0.622,+0.017,+0.018,+0.019,+0.018,+0.019
GPT 5.4,wp_a,0.494,0.501,0.507,0.510,0.513,0.493,0.493,0.493,0.493,0.493,+0.001,+0.009,+0.014,+0.017,+0.020
Claude Opus 4.7,summeval,0.599,0.602,0.603,0.604,0.604,0.579,0.578,0.579,0.579,0.579,+0.020,+0.024,+0.025,+0.025,+0.025
Claude Opus 4.7,newsroom,0.583,0.584,0.584,0.585,0.584,0.585,0.585,0.585,0.586,0.584,-0.002,-0.001,-0.000,-0.000,+0.000
Claude Opus 4.7,tc,0.737,0.738,0.740,0.741,0.743,0.741,0.742,0.743,0.741,0.742,-0.005,-0.004,-0.002,-0.000,+0.001
Claude Opus 4.7,wp_a,0.579,0.579,0.579,0.578,0.577,0.570,0.570,0.571,0.570,0.569,+0.009,+0.008,+0.009,+0.008,+0.007
