judge,sel@0.1,can@0.1,d@0.1,sel@0.2,can@0.2,d@0.2,sel@0.3,can@0.3,d@0.3,sel@0.4,can@0.4,d@0.4,sel@0.5,can@0.5,d@0.5
Gemma-2-9B,0.538,0.526,+0.011,0.540,0.526,+0.014,0.541,0.526,+0.015,0.542,0.527,+0.016,0.541,0.526,+0.015
Gemma-3-27B,0.550,0.527,+0.023,0.555,0.527,+0.027,0.557,0.527,+0.030,0.559,0.527,+0.032,0.560,0.527,+0.033
Qwen3-4B,0.444,0.422,+0.022,0.449,0.422,+0.027,0.452,0.423,+0.029,0.452,0.422,+0.030,0.454,0.423,+0.031
Mistral-7B,0.482,0.473,+0.009,0.484,0.473,+0.011,0.485,0.473,+0.012,0.486,0.473,+0.012,0.486,0.473,+0.013
LLaMA-3.1-8B,0.393,0.361,+0.033,0.397,0.361,+0.036,0.398,0.361,+0.037,0.400,0.361,+0.039,0.402,0.361,+0.041
LLaMA-3.1-70B,0.537,0.524,+0.013,0.541,0.524,+0.017,0.543,0.524,+0.019,0.545,0.524,+0.020,0.545,0.524,+0.022
Gemini-2.0-Flash,0.497,0.439,+0.058,0.505,0.439,+0.066,0.511,0.439,+0.072,0.513,0.439,+0.074,0.514,0.438,+0.076
Gemini-3-Flash,0.523,0.538,-0.016,0.531,0.538,-0.008,0.533,0.538,-0.005,0.535,0.538,-0.003,0.536,0.538,-0.003
Gemini 3.1 Pro,0.458,0.481,-0.023,0.467,0.481,-0.014,0.473,0.482,-0.009,0.477,0.481,-0.005,0.480,0.481,-0.001
GPT 5.4,0.550,0.530,+0.020,0.556,0.530,+0.026,0.560,0.530,+0.030,0.561,0.530,+0.031,0.563,0.530,+0.033
Claude Opus 4.7,0.624,0.619,+0.006,0.626,0.619,+0.007,0.627,0.619,+0.008,0.627,0.619,+0.008,0.627,0.619,+0.008
