judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemini2_flash,summeval,coh,0.1,0.496,0.4957,0.0004,0.0123,0.15,1_5,10,99
gemini2_flash,summeval,coh,0.2,0.4974,0.4961,0.0013,0.0116,0.119,1_5,20,99
gemini2_flash,summeval,coh,0.3,0.4977,0.4958,0.0019,0.0118,0.106,1_5,30,99
gemini2_flash,summeval,coh,0.4,0.4984,0.4969,0.0015,0.0127,0.078,1_5,40,99
gemini2_flash,summeval,coh,0.5,0.4975,0.4957,0.0018,0.014,0.061,1_5,50,99
gemini2_flash,summeval,con,0.1,0.6213,0.6299,-0.0086,0.0153,0.241,1_5,10,95
gemini2_flash,summeval,con,0.2,0.6207,0.6296,-0.0089,0.0175,0.247,1_5,19,95
gemini2_flash,summeval,con,0.3,0.6207,0.6303,-0.0096,0.0199,0.25,1_5,28,95
gemini2_flash,summeval,con,0.4,0.6179,0.6299,-0.0119,0.0243,0.236,1_5,38,95
gemini2_flash,summeval,con,0.5,0.618,0.6304,-0.0124,0.0276,0.248,1_5,48,95
gemini2_flash,summeval,flu,0.1,0.3669,0.331,0.0359,0.0267,0.105,1_5,10,98
gemini2_flash,summeval,flu,0.2,0.3806,0.3313,0.0493,0.0134,0.047,1_5,20,98
gemini2_flash,summeval,flu,0.3,0.3861,0.3311,0.055,0.0071,0.019,1_5,29,98
gemini2_flash,summeval,flu,0.4,0.391,0.3317,0.0593,0.0031,0.006,1_5,39,98
gemini2_flash,summeval,flu,0.5,0.3934,0.331,0.0624,0.0006,0.001,1_5,49,98
gemini2_flash,summeval,rel,0.1,0.427,0.419,0.008,0.0134,0.129,1_5,10,99
gemini2_flash,summeval,rel,0.2,0.4253,0.4185,0.0068,0.0159,0.096,1_5,20,99
gemini2_flash,summeval,rel,0.3,0.4252,0.4192,0.006,0.0181,0.052,1_5,30,99
gemini2_flash,summeval,rel,0.4,0.424,0.4187,0.0053,0.0203,0.045,1_5,40,99
gemini2_flash,summeval,rel,0.5,0.4238,0.4189,0.0049,0.0234,0.021,1_5,50,99
gemini2_flash,newsroom,coh,0.1,0.5741,0.411,0.1631,0.0225,0.002,1_5,6,60
gemini2_flash,newsroom,coh,0.2,0.5843,0.4121,0.1722,0.0133,0.0,1_5,12,60
gemini2_flash,newsroom,coh,0.3,0.5866,0.4103,0.1763,0.0091,0.0,1_5,18,60
gemini2_flash,newsroom,coh,0.4,0.5919,0.4112,0.1807,0.0054,0.0,1_5,24,60
gemini2_flash,newsroom,coh,0.5,0.5945,0.4128,0.1818,0.0036,0.0,1_5,30,60
gemini2_flash,newsroom,flu,0.1,0.4583,0.4875,-0.0293,0.0375,0.349,1_5,6,60
gemini2_flash,newsroom,flu,0.2,0.4703,0.4883,-0.018,0.0275,0.381,1_5,12,60
gemini2_flash,newsroom,flu,0.3,0.4757,0.4883,-0.0126,0.0243,0.431,1_5,18,60
gemini2_flash,newsroom,flu,0.4,0.478,0.4889,-0.0109,0.0243,0.409,1_5,24,60
gemini2_flash,newsroom,flu,0.5,0.476,0.4847,-0.0088,0.0268,0.437,1_5,30,60
gemini2_flash,newsroom,inf,0.1,0.4798,0.426,0.0538,0.0249,0.053,1_5,6,60
gemini2_flash,newsroom,inf,0.2,0.4823,0.4264,0.0559,0.0226,0.028,1_5,12,60
gemini2_flash,newsroom,inf,0.3,0.4834,0.4256,0.0578,0.0235,0.013,1_5,18,60
gemini2_flash,newsroom,inf,0.4,0.4843,0.4252,0.0591,0.0232,0.005,1_5,24,60
gemini2_flash,newsroom,inf,0.5,0.4834,0.4231,0.0604,0.0246,0.001,1_5,30,60
