judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemini31_pro,summeval,coh,0.1,0.6048,0.622,-0.0172,0.0172,0.565,1_5,10,99
gemini31_pro,summeval,coh,0.2,0.6119,0.6218,-0.0099,0.01,0.703,1_5,20,99
gemini31_pro,summeval,coh,0.3,0.614,0.6218,-0.0078,0.0079,0.784,1_5,30,99
gemini31_pro,summeval,coh,0.4,0.616,0.6229,-0.0069,0.0073,0.83,1_5,40,99
gemini31_pro,summeval,coh,0.5,0.6162,0.6219,-0.0057,0.0067,0.878,1_5,50,99
gemini31_pro,summeval,con,0.1,0.5213,0.5541,-0.0329,0.0329,0.747,1_5,9,94
gemini31_pro,summeval,con,0.2,0.541,0.554,-0.013,0.013,0.909,1_5,19,94
gemini31_pro,summeval,con,0.3,0.5486,0.5551,-0.0066,0.0066,0.96,1_5,28,94
gemini31_pro,summeval,con,0.4,0.5526,0.5544,-0.0018,0.0018,0.99,1_5,38,94
gemini31_pro,summeval,con,0.5,0.5532,0.5535,-0.0003,0.0003,0.999,1_5,47,94
gemini31_pro,summeval,flu,0.1,0.4064,0.3744,0.0319,0.035,0.248,1_5,10,98
gemini31_pro,summeval,flu,0.2,0.4222,0.3752,0.047,0.0192,0.169,1_5,20,98
gemini31_pro,summeval,flu,0.3,0.4281,0.3745,0.0536,0.0127,0.115,1_5,29,98
gemini31_pro,summeval,flu,0.4,0.4335,0.375,0.0585,0.008,0.065,1_5,39,98
gemini31_pro,summeval,flu,0.5,0.4358,0.3743,0.0615,0.0063,0.04,1_5,49,98
gemini31_pro,summeval,rel,0.1,0.528,0.5449,-0.0168,0.0168,0.858,1_5,10,97
gemini31_pro,summeval,rel,0.2,0.5395,0.5445,-0.005,0.005,0.959,1_5,19,97
gemini31_pro,summeval,rel,0.3,0.5432,0.5442,-0.0011,0.0011,0.992,1_5,29,97
gemini31_pro,summeval,rel,0.4,0.5447,0.5449,-0.0001,0.0001,0.999,1_5,39,97
gemini31_pro,summeval,rel,0.5,0.5449,0.5451,-0.0002,0.0002,0.999,1_5,48,97
gemini31_pro,newsroom,coh,0.1,0.481,0.4965,-0.0155,0.0482,0.234,1_5,6,60
gemini31_pro,newsroom,coh,0.2,0.4828,0.4977,-0.0149,0.0489,0.233,1_5,12,60
gemini31_pro,newsroom,coh,0.3,0.4834,0.4958,-0.0124,0.0472,0.223,1_5,18,60
gemini31_pro,newsroom,coh,0.4,0.4893,0.4983,-0.009,0.0467,0.202,1_5,24,60
gemini31_pro,newsroom,coh,0.5,0.4859,0.4974,-0.0115,0.0544,0.202,1_5,30,60
gemini31_pro,newsroom,flu,0.1,0.3654,0.4156,-0.0501,0.0503,0.35,1_5,6,60
