judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gpt54,summeval,coh,0.1,0.6214,0.6299,-0.0085,0.0093,0.312,1_5,10,99
gpt54,summeval,coh,0.2,0.6218,0.6302,-0.0084,0.0098,0.363,1_5,20,99
gpt54,summeval,coh,0.3,0.6209,0.6297,-0.0088,0.0109,0.404,1_5,30,99
gpt54,summeval,coh,0.4,0.622,0.6306,-0.0086,0.0117,0.443,1_5,40,99
gpt54,summeval,coh,0.5,0.6211,0.6299,-0.0089,0.0128,0.449,1_5,50,99
gpt54,summeval,con,0.1,0.7044,0.7131,-0.0087,0.0155,0.247,1_5,9,94
gpt54,summeval,con,0.2,0.7062,0.7126,-0.0064,0.0134,0.256,1_5,19,94
gpt54,summeval,con,0.3,0.7081,0.7129,-0.0049,0.0117,0.223,1_5,28,94
gpt54,summeval,con,0.4,0.7113,0.7136,-0.0023,0.01,0.229,1_5,38,94
gpt54,summeval,con,0.5,0.7122,0.7131,-0.0009,0.0094,0.198,1_5,47,94
gpt54,summeval,flu,0.1,0.4227,0.432,-0.0093,0.0158,0.319,1_5,10,98
gpt54,summeval,flu,0.2,0.4227,0.432,-0.0092,0.0177,0.321,1_5,20,98
gpt54,summeval,flu,0.3,0.4216,0.4317,-0.0101,0.0206,0.31,1_5,29,98
gpt54,summeval,flu,0.4,0.4206,0.4319,-0.0113,0.023,0.31,1_5,39,98
gpt54,summeval,flu,0.5,0.4199,0.4322,-0.0122,0.0273,0.326,1_5,49,98
gpt54,summeval,rel,0.1,0.5504,0.5497,0.0007,0.0083,0.16,1_5,10,97
gpt54,summeval,rel,0.2,0.5487,0.5486,0.0001,0.0099,0.153,1_5,19,97
gpt54,summeval,rel,0.3,0.5493,0.5489,0.0004,0.0104,0.102,1_5,29,97
gpt54,summeval,rel,0.4,0.5485,0.5496,-0.0011,0.0126,0.091,1_5,39,97
gpt54,summeval,rel,0.5,0.5491,0.5505,-0.0014,0.0145,0.086,1_5,48,97
gpt54,newsroom,coh,0.1,0.5769,0.4831,0.0938,0.0185,0.033,1_5,6,60
gpt54,newsroom,coh,0.2,0.5841,0.4842,0.0999,0.0119,0.003,1_5,12,60
gpt54,newsroom,coh,0.3,0.5821,0.4828,0.0993,0.0131,0.0,1_5,18,60
gpt54,newsroom,coh,0.4,0.5832,0.4852,0.098,0.0147,0.0,1_5,24,60
gpt54,newsroom,coh,0.5,0.5838,0.4848,0.099,0.017,0.0,1_5,30,60
gpt54,newsroom,flu,0.1,0.3613,0.2752,0.0861,0.0633,0.202,1_5,6,60
gpt54,newsroom,flu,0.2,0.4,0.2751,0.1249,0.0237,0.102,1_5,12,60
gpt54,newsroom,flu,0.3,0.4086,0.2786,0.13,0.0163,0.061,1_5,18,60
gpt54,newsroom,flu,0.4,0.419,0.2735,0.1455,0.006,0.022,1_5,24,60
gpt54,newsroom,flu,0.5,0.4213,0.2747,0.1467,0.0033,0.01,1_5,30,60
gpt54,newsroom,inf,0.1,0.5336,0.4896,0.044,0.0239,0.024,1_5,6,59
gpt54,newsroom,inf,0.2,0.5391,0.4901,0.049,0.0191,0.008,1_5,12,59
gpt54,newsroom,inf,0.3,0.5454,0.4885,0.0568,0.011,0.002,1_5,18,59
gpt54,newsroom,inf,0.4,0.5495,0.4891,0.0604,0.0078,0.0,1_5,24,59
gpt54,newsroom,inf,0.5,0.5535,0.4903,0.0633,0.0054,0.0,1_5,30,59
gpt54,newsroom,rel,0.1,0.5003,0.4452,0.0551,0.0512,0.034,1_5,6,60
gpt54,newsroom,rel,0.2,0.5101,0.4441,0.066,0.0409,0.008,1_5,12,60
gpt54,newsroom,rel,0.3,0.5264,0.4463,0.0801,0.0266,0.002,1_5,18,60
gpt54,newsroom,rel,0.4,0.5284,0.4447,0.0836,0.0249,0.0,1_5,24,60
gpt54,newsroom,rel,0.5,0.5387,0.4454,0.0933,0.0158,0.0,1_5,30,60
gpt54,tc,coh,0.1,0.5408,0.5042,0.0366,0.0257,0.081,0_1,5,50
gpt54,tc,coh,0.2,0.5427,0.5029,0.0398,0.0237,0.031,0_1,10,50
gpt54,tc,coh,0.3,0.5453,0.5048,0.0406,0.0243,0.018,0_1,15,50
gpt54,tc,coh,0.4,0.5441,0.5043,0.0398,0.0246,0.003,0_1,20,50
gpt54,tc,coh,0.5,0.5477,0.5041,0.0436,0.0256,0.001,0_1,25,50
gpt54,tc,eng,0.1,0.727,0.7076,0.0194,0.0237,0.202,1_3,5,50
gpt54,tc,eng,0.2,0.7289,0.7078,0.021,0.0228,0.117,1_3,10,50
gpt54,tc,eng,0.3,0.7289,0.7077,0.0212,0.0238,0.104,1_3,15,50
gpt54,tc,eng,0.4,0.731,0.7087,0.0223,0.0243,0.064,1_3,20,50
gpt54,tc,eng,0.5,0.731,0.7072,0.0238,0.0265,0.047,1_3,25,50
gpt54,tc,gro,0.1,0.6907,0.661,0.0297,0.0274,0.154,0_1,5,50
gpt54,tc,gro,0.2,0.6924,0.6604,0.032,0.0264,0.123,0_1,10,50
gpt54,tc,gro,0.3,0.6964,0.661,0.0354,0.0236,0.066,0_1,15,50
gpt54,tc,gro,0.4,0.6942,0.6595,0.0347,0.0253,0.049,0_1,20,50
gpt54,tc,gro,0.5,0.6965,0.6591,0.0375,0.0247,0.025,0_1,25,50
gpt54,tc,nat,0.1,0.5995,0.6158,-0.0163,0.0214,0.228,1_3,5,50
gpt54,tc,nat,0.2,0.5969,0.617,-0.0201,0.0283,0.231,1_3,10,50
gpt54,tc,nat,0.3,0.595,0.6177,-0.0227,0.0343,0.275,1_3,15,50
gpt54,tc,nat,0.4,0.5907,0.615,-0.0243,0.0405,0.313,1_3,20,50
gpt54,tc,nat,0.5,0.5883,0.6164,-0.0281,0.0478,0.335,1_3,25,50
gpt54,wp_a,coh,0.1,0.4794,0.4746,0.0048,0.0469,0.125,1_5,40,400
gpt54,wp_a,coh,0.2,0.4856,0.4744,0.0113,0.041,0.09,1_5,80,400
gpt54,wp_a,coh,0.3,0.488,0.473,0.015,0.0384,0.093,1_5,120,400
gpt54,wp_a,coh,0.4,0.4927,0.475,0.0177,0.0343,0.052,1_5,160,400
gpt54,wp_a,coh,0.5,0.4957,0.4744,0.0213,0.0336,0.03,1_5,200,400
gpt54,wp_a,enj,0.1,0.4491,0.4875,-0.0384,0.0384,0.419,1_5,40,400
gpt54,wp_a,enj,0.2,0.4588,0.4866,-0.0278,0.028,0.573,1_5,80,400
gpt54,wp_a,enj,0.3,0.4676,0.4877,-0.0201,0.0205,0.691,1_5,120,400
gpt54,wp_a,enj,0.4,0.4723,0.4882,-0.016,0.0172,0.771,1_5,160,400
gpt54,wp_a,enj,0.5,0.4735,0.4857,-0.0122,0.0149,0.83,1_5,200,400
gpt54,wp_a,gra,0.1,0.4105,0.4098,0.0007,0.0383,0.167,1_5,40,400
gpt54,wp_a,gra,0.2,0.4186,0.4086,0.0099,0.0298,0.145,1_5,80,400
gpt54,wp_a,gra,0.3,0.4263,0.4089,0.0174,0.0235,0.111,1_5,120,400
gpt54,wp_a,gra,0.4,0.427,0.4081,0.0189,0.0234,0.067,1_5,160,400
gpt54,wp_a,gra,0.5,0.4292,0.4084,0.0208,0.024,0.055,1_5,200,400
gpt54,wp_a,rel,0.1,0.6361,0.601,0.0351,0.024,0.098,1_5,40,400
gpt54,wp_a,rel,0.2,0.6414,0.6004,0.041,0.0181,0.036,1_5,80,400
gpt54,wp_a,rel,0.3,0.6448,0.6004,0.0443,0.0149,0.025,1_5,120,400
gpt54,wp_a,rel,0.4,0.6468,0.601,0.0458,0.0142,0.005,1_5,160,400
gpt54,wp_a,rel,0.5,0.6523,0.6021,0.0503,0.0096,0.0,1_5,200,400
