judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
llama31_70b,summeval,coh,0.1,0.5785,0.5595,0.0189,0.0102,0.078,1_5,10,100
llama31_70b,summeval,coh,0.2,0.5791,0.5591,0.02,0.0097,0.039,1_5,20,100
llama31_70b,summeval,coh,0.3,0.5799,0.5595,0.0204,0.009,0.02,1_5,30,100
llama31_70b,summeval,coh,0.4,0.5811,0.5597,0.0213,0.0088,0.012,1_5,40,100
llama31_70b,summeval,coh,0.5,0.5816,0.559,0.0226,0.0079,0.002,1_5,50,100
llama31_70b,summeval,con,0.1,0.5776,0.5933,-0.0157,0.0157,0.568,1_5,10,96
llama31_70b,summeval,con,0.2,0.5813,0.5934,-0.0121,0.0121,0.675,1_5,19,96
llama31_70b,summeval,con,0.3,0.5863,0.5937,-0.0075,0.0075,0.802,1_5,29,96
llama31_70b,summeval,con,0.4,0.5859,0.5928,-0.007,0.0074,0.84,1_5,38,96
llama31_70b,summeval,con,0.5,0.5891,0.5937,-0.0046,0.0055,0.907,1_5,48,96
llama31_70b,summeval,flu,0.1,0.3061,0.2121,0.0941,0.017,0.045,1_5,10,98
llama31_70b,summeval,flu,0.2,0.3206,0.2123,0.1083,0.003,0.001,1_5,20,98
llama31_70b,summeval,flu,0.3,0.3228,0.2123,0.1105,0.0,0.0,1_5,29,98
llama31_70b,summeval,flu,0.4,0.3243,0.2123,0.1121,0.0,0.0,1_5,39,98
llama31_70b,summeval,flu,0.5,0.3244,0.2118,0.1126,0.0,0.0,1_5,49,98
llama31_70b,summeval,rel,0.1,0.5232,0.5004,0.0228,0.0181,0.118,1_5,10,100
llama31_70b,summeval,rel,0.2,0.5288,0.5008,0.028,0.0133,0.054,1_5,20,100
llama31_70b,summeval,rel,0.3,0.5312,0.5006,0.0306,0.0099,0.025,1_5,30,100
llama31_70b,summeval,rel,0.4,0.5327,0.4997,0.033,0.0084,0.012,1_5,40,100
llama31_70b,summeval,rel,0.5,0.5344,0.5004,0.034,0.0073,0.007,1_5,50,100
llama31_70b,newsroom,coh,0.1,0.5924,0.5197,0.0727,0.0284,0.017,1_5,6,60
llama31_70b,newsroom,coh,0.2,0.6035,0.521,0.0825,0.0185,0.002,1_5,12,60
llama31_70b,newsroom,coh,0.3,0.6066,0.5195,0.0871,0.0148,0.0,1_5,18,60
llama31_70b,newsroom,coh,0.4,0.6103,0.5208,0.0895,0.0121,0.0,1_5,24,60
llama31_70b,newsroom,coh,0.5,0.6112,0.5201,0.0911,0.0123,0.0,1_5,30,60
llama31_70b,newsroom,flu,0.1,0.6087,0.5803,0.0284,0.0191,0.104,1_5,6,60
llama31_70b,newsroom,flu,0.2,0.613,0.5802,0.0328,0.0163,0.045,1_5,12,60
llama31_70b,newsroom,flu,0.3,0.6143,0.5817,0.0326,0.0174,0.025,1_5,18,60
llama31_70b,newsroom,flu,0.4,0.6138,0.5809,0.0329,0.0195,0.009,1_5,24,60
llama31_70b,newsroom,flu,0.5,0.6082,0.5776,0.0307,0.0229,0.004,1_5,30,60
llama31_70b,newsroom,inf,0.1,0.5437,0.57,-0.0263,0.0263,0.519,1_5,6,60
llama31_70b,newsroom,inf,0.2,0.5532,0.5703,-0.0171,0.0171,0.676,1_5,12,60
llama31_70b,newsroom,inf,0.3,0.5568,0.5706,-0.0138,0.0139,0.762,1_5,18,60
llama31_70b,newsroom,inf,0.4,0.5589,0.5698,-0.0109,0.0112,0.828,1_5,24,60
llama31_70b,newsroom,inf,0.5,0.5624,0.569,-0.0065,0.0075,0.913,1_5,30,60
llama31_70b,newsroom,rel,0.1,0.5081,0.4987,0.0094,0.0212,0.186,1_5,6,60
llama31_70b,newsroom,rel,0.2,0.5083,0.4979,0.0104,0.0216,0.144,1_5,12,60
llama31_70b,newsroom,rel,0.3,0.5105,0.4994,0.0112,0.0216,0.114,1_5,18,60
llama31_70b,newsroom,rel,0.4,0.5083,0.498,0.0103,0.0242,0.1,1_5,24,60
llama31_70b,newsroom,rel,0.5,0.5092,0.4975,0.0117,0.0262,0.073,1_5,30,60
llama31_70b,tc,coh,0.1,0.5143,0.5103,0.004,0.0302,0.166,0_1,5,49
llama31_70b,tc,coh,0.2,0.5138,0.5103,0.0035,0.031,0.163,0_1,10,49
llama31_70b,tc,coh,0.3,0.5156,0.5112,0.0044,0.0315,0.136,0_1,15,49
llama31_70b,tc,coh,0.4,0.5168,0.5117,0.0051,0.0314,0.092,0_1,20,49
llama31_70b,tc,coh,0.5,0.5175,0.5106,0.007,0.0319,0.073,0_1,24,49
llama31_70b,tc,eng,0.1,0.7021,0.6953,0.0068,0.023,0.216,1_3,5,49
