judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
mistral_7b,summeval,coh,0.1,0.4191,0.4246,-0.0054,0.0091,0.283,1_5,10,100
mistral_7b,summeval,coh,0.2,0.4206,0.4245,-0.004,0.0084,0.309,1_5,20,100
mistral_7b,summeval,coh,0.3,0.4207,0.4253,-0.0046,0.0096,0.286,1_5,30,100
mistral_7b,summeval,coh,0.4,0.4214,0.4261,-0.0047,0.0104,0.26,1_5,40,100
mistral_7b,summeval,coh,0.5,0.4209,0.4255,-0.0047,0.0116,0.26,1_5,50,100
mistral_7b,summeval,con,0.1,0.4584,0.4744,-0.016,0.016,0.428,1_5,10,95
mistral_7b,summeval,con,0.2,0.4612,0.4748,-0.0136,0.0136,0.582,1_5,19,95
mistral_7b,summeval,con,0.3,0.4642,0.4756,-0.0114,0.0114,0.695,1_5,28,95
mistral_7b,summeval,con,0.4,0.4668,0.4749,-0.0081,0.0082,0.812,1_5,38,95
mistral_7b,summeval,con,0.5,0.4704,0.4751,-0.0047,0.0051,0.909,1_5,48,95
mistral_7b,summeval,flu,0.1,0.3839,0.3622,0.0218,0.0158,0.059,1_5,10,98
mistral_7b,summeval,flu,0.2,0.384,0.3624,0.0216,0.0161,0.031,1_5,20,98
mistral_7b,summeval,flu,0.3,0.3843,0.3625,0.0218,0.0169,0.012,1_5,29,98
mistral_7b,summeval,flu,0.4,0.3841,0.3622,0.0219,0.0182,0.004,1_5,39,98
mistral_7b,summeval,flu,0.5,0.3821,0.3618,0.0204,0.0214,0.001,1_5,49,98
mistral_7b,summeval,rel,0.1,0.4156,0.4062,0.0094,0.0103,0.094,1_5,10,100
mistral_7b,summeval,rel,0.2,0.4174,0.4072,0.0102,0.0106,0.064,1_5,20,100
mistral_7b,summeval,rel,0.3,0.4169,0.406,0.0109,0.0109,0.035,1_5,30,100
mistral_7b,summeval,rel,0.4,0.4157,0.4048,0.0109,0.0126,0.02,1_5,40,100
mistral_7b,summeval,rel,0.5,0.4154,0.4054,0.01,0.0137,0.007,1_5,50,100
mistral_7b,newsroom,coh,0.1,0.5527,0.5393,0.0133,0.0193,0.139,1_5,6,60
mistral_7b,newsroom,coh,0.2,0.5587,0.5403,0.0184,0.0144,0.089,1_5,12,60
mistral_7b,newsroom,coh,0.3,0.5609,0.538,0.0229,0.0098,0.037,1_5,18,60
mistral_7b,newsroom,coh,0.4,0.5656,0.5412,0.0244,0.0086,0.029,1_5,24,60
mistral_7b,newsroom,coh,0.5,0.5686,0.5403,0.0282,0.0044,0.008,1_5,30,60
mistral_7b,newsroom,flu,0.1,0.5464,0.551,-0.0046,0.0102,0.207,1_5,6,60
mistral_7b,newsroom,flu,0.2,0.5468,0.5511,-0.0043,0.011,0.23,1_5,12,60
mistral_7b,newsroom,flu,0.3,0.5474,0.5514,-0.004,0.0114,0.227,1_5,18,60
