judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
opus47,summeval,coh,0.1,0.6418,0.6238,0.018,0.0082,0.084,1_5,10,99
opus47,summeval,coh,0.2,0.6421,0.624,0.0181,0.0089,0.03,1_5,20,99
opus47,summeval,coh,0.3,0.6415,0.6238,0.0177,0.0102,0.019,1_5,30,99
opus47,summeval,coh,0.4,0.6421,0.6251,0.017,0.012,0.003,1_5,40,99
opus47,summeval,coh,0.5,0.6393,0.6236,0.0158,0.0147,0.002,1_5,50,99
opus47,summeval,con,0.1,0.6852,0.6899,-0.0047,0.0112,0.148,1_5,9,94
opus47,summeval,con,0.2,0.6848,0.6887,-0.0039,0.0112,0.146,1_5,19,94
opus47,summeval,con,0.3,0.6857,0.6893,-0.0036,0.0117,0.142,1_5,28,94
opus47,summeval,con,0.4,0.6859,0.6901,-0.0042,0.0131,0.144,1_5,38,94
opus47,summeval,con,0.5,0.6844,0.6895,-0.005,0.0151,0.121,1_5,47,94
opus47,summeval,flu,0.1,0.5073,0.4924,0.0149,0.0128,0.115,1_5,10,98
opus47,summeval,flu,0.2,0.5089,0.4923,0.0166,0.0111,0.066,1_5,20,98
opus47,summeval,flu,0.3,0.5095,0.4919,0.0176,0.0105,0.049,1_5,29,98
opus47,summeval,flu,0.4,0.5113,0.4923,0.019,0.0097,0.022,1_5,39,98
opus47,summeval,flu,0.5,0.5136,0.4934,0.0202,0.0083,0.009,1_5,49,98
opus47,summeval,rel,0.1,0.5627,0.5097,0.0531,0.0146,0.041,1_5,10,97
opus47,summeval,rel,0.2,0.5727,0.5086,0.0641,0.0037,0.008,1_5,19,97
opus47,summeval,rel,0.3,0.5759,0.5095,0.0664,0.0011,0.003,1_5,29,97
opus47,summeval,rel,0.4,0.5773,0.5104,0.067,0.0002,0.0,1_5,39,97
opus47,summeval,rel,0.5,0.5777,0.5104,0.0674,0.0001,0.0,1_5,48,97
opus47,newsroom,coh,0.1,0.5871,0.5739,0.0132,0.0239,0.208,1_5,6,60
opus47,newsroom,coh,0.2,0.5916,0.5747,0.017,0.0202,0.163,1_5,12,60
opus47,newsroom,coh,0.3,0.5931,0.5724,0.0207,0.0166,0.127,1_5,18,60
opus47,newsroom,coh,0.4,0.5981,0.5742,0.0239,0.0136,0.082,1_5,24,60
opus47,newsroom,coh,0.5,0.6023,0.5755,0.0269,0.0107,0.049,1_5,30,60
opus47,newsroom,flu,0.1,0.5931,0.5991,-0.0059,0.0117,0.322,1_5,6,60
opus47,newsroom,flu,0.2,0.5936,0.5993,-0.0057,0.0123,0.329,1_5,12,60
opus47,newsroom,flu,0.3,0.594,0.6002,-0.0062,0.0142,0.334,1_5,18,60
opus47,newsroom,flu,0.4,0.5945,0.6014,-0.0069,0.0159,0.303,1_5,24,60
opus47,newsroom,flu,0.5,0.5898,0.5974,-0.0076,0.0181,0.3,1_5,30,60
opus47,newsroom,inf,0.1,0.5891,0.5971,-0.008,0.0109,0.319,1_5,6,60
opus47,newsroom,inf,0.2,0.5882,0.5975,-0.0093,0.0132,0.325,1_5,12,60
opus47,newsroom,inf,0.3,0.5889,0.598,-0.0091,0.0138,0.32,1_5,18,60
opus47,newsroom,inf,0.4,0.5883,0.5979,-0.0096,0.0155,0.349,1_5,24,60
opus47,newsroom,inf,0.5,0.5873,0.5965,-0.0092,0.0168,0.378,1_5,30,60
opus47,newsroom,rel,0.1,0.5609,0.5689,-0.0079,0.0166,0.316,1_5,6,60
opus47,newsroom,rel,0.2,0.5607,0.5681,-0.0074,0.0179,0.325,1_5,12,60
opus47,newsroom,rel,0.3,0.5618,0.5687,-0.0069,0.02,0.336,1_5,18,60
opus47,newsroom,rel,0.4,0.5608,0.5689,-0.0082,0.0222,0.301,1_5,24,60
opus47,newsroom,rel,0.5,0.5586,0.5686,-0.01,0.0273,0.314,1_5,30,60
opus47,tc,coh,0.1,0.6697,0.6935,-0.0238,0.0238,0.294,0_1,5,50
opus47,tc,coh,0.2,0.6708,0.693,-0.0222,0.0224,0.389,0_1,10,50
opus47,tc,coh,0.3,0.675,0.6945,-0.0196,0.02,0.51,0_1,15,50
opus47,tc,coh,0.4,0.6761,0.6925,-0.0164,0.0177,0.613,0_1,20,50
opus47,tc,coh,0.5,0.6804,0.6935,-0.0131,0.0155,0.73,0_1,25,50
opus47,tc,eng,0.1,0.7847,0.7994,-0.0147,0.0165,0.299,1_3,5,50
opus47,tc,eng,0.2,0.7853,0.8,-0.0146,0.017,0.329,1_3,10,50
opus47,tc,eng,0.3,0.7856,0.8001,-0.0145,0.0185,0.402,1_3,15,50
opus47,tc,eng,0.4,0.7857,0.8004,-0.0147,0.0197,0.423,1_3,20,50
opus47,tc,eng,0.5,0.7868,0.7997,-0.0129,0.0202,0.486,1_3,25,50
opus47,tc,gro,0.1,0.8116,0.8086,0.003,0.0122,0.139,0_1,5,50
opus47,tc,gro,0.2,0.8103,0.8092,0.001,0.0152,0.11,0_1,10,50
opus47,tc,gro,0.3,0.8084,0.8095,-0.001,0.0183,0.109,0_1,15,50
opus47,tc,gro,0.4,0.8054,0.8075,-0.002,0.0217,0.109,0_1,20,50
opus47,tc,gro,0.5,0.8039,0.8079,-0.004,0.0269,0.089,0_1,25,50
opus47,tc,nat,0.1,0.6807,0.6644,0.0162,0.0322,0.137,1_3,5,50
opus47,tc,nat,0.2,0.6861,0.6653,0.0208,0.0274,0.075,1_3,10,50
opus47,tc,nat,0.3,0.6929,0.6659,0.0269,0.0216,0.049,1_3,15,50
opus47,tc,nat,0.4,0.6966,0.6645,0.0321,0.017,0.014,1_3,20,50
opus47,tc,nat,0.5,0.7005,0.6654,0.0351,0.0146,0.009,1_3,25,50
opus47,wp_a,coh,0.1,0.6114,0.5925,0.0188,0.0185,0.056,1_5,40,400
opus47,wp_a,coh,0.2,0.6086,0.593,0.0156,0.0255,0.052,1_5,80,400
opus47,wp_a,coh,0.3,0.6049,0.5917,0.0132,0.0302,0.028,1_5,120,400
opus47,wp_a,coh,0.4,0.603,0.5915,0.0114,0.0346,0.018,1_5,160,400
opus47,wp_a,coh,0.5,0.5986,0.5909,0.0077,0.0421,0.012,1_5,200,400
opus47,wp_a,enj,0.1,0.5267,0.53,-0.0033,0.0127,0.238,1_5,40,400
opus47,wp_a,enj,0.2,0.5245,0.53,-0.0055,0.0154,0.194,1_5,80,400
opus47,wp_a,enj,0.3,0.5239,0.5297,-0.0057,0.0172,0.222,1_5,120,400
opus47,wp_a,enj,0.4,0.5233,0.5304,-0.0071,0.0207,0.243,1_5,160,400
opus47,wp_a,enj,0.5,0.5204,0.5286,-0.0082,0.0231,0.189,1_5,200,400
opus47,wp_a,gra,0.1,0.526,0.5219,0.0042,0.0246,0.18,1_5,40,400
opus47,wp_a,gra,0.2,0.5271,0.5211,0.006,0.0224,0.146,1_5,80,400
opus47,wp_a,gra,0.3,0.5322,0.5235,0.0087,0.0199,0.133,1_5,120,400
opus47,wp_a,gra,0.4,0.5315,0.5202,0.0113,0.018,0.094,1_5,160,400
opus47,wp_a,gra,0.5,0.5333,0.5192,0.0141,0.0163,0.079,1_5,200,400
opus47,wp_a,rel,0.1,0.6532,0.6373,0.0159,0.0118,0.124,1_5,40,400
opus47,wp_a,rel,0.2,0.6545,0.6367,0.0178,0.0112,0.063,1_5,80,400
