judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
qwen3_4b,summeval,coh,0.1,0.4658,0.4549,0.0109,0.0131,0.094,1_5,10,100
qwen3_4b,summeval,coh,0.2,0.4655,0.4539,0.0116,0.0133,0.078,1_5,20,100
qwen3_4b,summeval,coh,0.3,0.4672,0.4545,0.0127,0.0127,0.046,1_5,30,100
qwen3_4b,summeval,coh,0.4,0.4675,0.4541,0.0134,0.0136,0.03,1_5,40,100
qwen3_4b,summeval,coh,0.5,0.4694,0.4546,0.0148,0.0129,0.008,1_5,50,100
qwen3_4b,summeval,con,0.1,0.6213,0.6161,0.0052,0.0218,0.302,1_5,10,96
qwen3_4b,summeval,con,0.2,0.6291,0.6165,0.0126,0.0141,0.256,1_5,19,96
qwen3_4b,summeval,con,0.3,0.6331,0.6169,0.0162,0.0104,0.202,1_5,29,96
qwen3_4b,summeval,con,0.4,0.6338,0.6167,0.0171,0.0099,0.164,1_5,38,96
qwen3_4b,summeval,con,0.5,0.6366,0.6156,0.021,0.008,0.11,1_5,48,96
qwen3_4b,summeval,flu,0.1,0.3491,0.2277,0.1214,0.0178,0.006,1_5,10,98
qwen3_4b,summeval,flu,0.2,0.3501,0.228,0.1221,0.0177,0.0,1_5,20,98
qwen3_4b,summeval,flu,0.3,0.3495,0.2274,0.1221,0.0183,0.0,1_5,29,98
qwen3_4b,summeval,flu,0.4,0.3491,0.2286,0.1205,0.0212,0.0,1_5,39,98
qwen3_4b,summeval,flu,0.5,0.349,0.2285,0.1205,0.0238,0.0,1_5,49,98
qwen3_4b,summeval,rel,0.1,0.371,0.3404,0.0306,0.0252,0.092,1_5,10,100
qwen3_4b,summeval,rel,0.2,0.3744,0.3405,0.0339,0.022,0.039,1_5,20,100
qwen3_4b,summeval,rel,0.3,0.3772,0.34,0.0372,0.019,0.019,1_5,30,100
qwen3_4b,summeval,rel,0.4,0.3783,0.3395,0.0388,0.0185,0.009,1_5,40,100
qwen3_4b,summeval,rel,0.5,0.3827,0.3392,0.0435,0.0146,0.001,1_5,50,100
qwen3_4b,newsroom,coh,0.1,0.4959,0.5139,-0.0179,0.0188,0.314,1_5,6,60
qwen3_4b,newsroom,coh,0.2,0.4947,0.5149,-0.0202,0.023,0.37,1_5,12,60
qwen3_4b,newsroom,coh,0.3,0.4911,0.5136,-0.0225,0.0275,0.398,1_5,18,60
qwen3_4b,newsroom,coh,0.4,0.4904,0.5141,-0.0236,0.0314,0.446,1_5,24,60
qwen3_4b,newsroom,coh,0.5,0.4886,0.5134,-0.0248,0.036,0.496,1_5,30,60
qwen3_4b,newsroom,flu,0.1,0.2066,0.062,0.1445,0.0457,0.04,1_5,6,60
qwen3_4b,newsroom,flu,0.2,0.2361,0.0605,0.1756,0.0144,0.012,1_5,12,60
qwen3_4b,newsroom,flu,0.3,0.2477,0.0615,0.1861,0.0049,0.0,1_5,18,60
qwen3_4b,newsroom,flu,0.4,0.2502,0.0616,0.1886,0.0015,0.0,1_5,24,60
qwen3_4b,newsroom,flu,0.5,0.2537,0.0664,0.1873,0.0,0.0,1_5,30,60
qwen3_4b,newsroom,inf,0.1,0.5751,0.5737,0.0014,0.0202,0.298,1_5,6,60
qwen3_4b,newsroom,inf,0.2,0.5773,0.5732,0.0041,0.0179,0.258,1_5,12,60
qwen3_4b,newsroom,inf,0.3,0.5791,0.5743,0.0048,0.0173,0.226,1_5,18,60
qwen3_4b,newsroom,inf,0.4,0.5793,0.5732,0.0061,0.0171,0.194,1_5,24,60
qwen3_4b,newsroom,inf,0.5,0.5805,0.5726,0.008,0.0165,0.148,1_5,30,60
qwen3_4b,newsroom,rel,0.1,0.5078,0.5023,0.0056,0.023,0.136,1_5,6,60
qwen3_4b,newsroom,rel,0.2,0.5087,0.5023,0.0064,0.0224,0.138,1_5,12,60
qwen3_4b,newsroom,rel,0.3,0.5099,0.5033,0.0066,0.0224,0.098,1_5,18,60
qwen3_4b,newsroom,rel,0.4,0.5118,0.503,0.0088,0.0208,0.061,1_5,24,60
qwen3_4b,newsroom,rel,0.5,0.5162,0.5026,0.0136,0.0179,0.048,1_5,30,60
qwen3_4b,tc,coh,0.1,0.4067,0.4178,-0.0111,0.03,0.199,0_1,5,50
qwen3_4b,tc,coh,0.2,0.4051,0.4175,-0.0124,0.0332,0.216,0_1,10,50
qwen3_4b,tc,coh,0.3,0.4058,0.4195,-0.0137,0.0358,0.204,0_1,15,50
qwen3_4b,tc,coh,0.4,0.405,0.417,-0.012,0.0359,0.216,0_1,20,50
qwen3_4b,tc,coh,0.5,0.4062,0.419,-0.0129,0.0399,0.215,0_1,25,50
qwen3_4b,tc,eng,0.1,0.5706,0.5266,0.044,0.0341,0.13,1_3,5,50
qwen3_4b,tc,eng,0.2,0.5706,0.5248,0.0458,0.0338,0.098,1_3,10,50
qwen3_4b,tc,eng,0.3,0.576,0.5282,0.0478,0.0327,0.053,1_3,15,50
qwen3_4b,tc,eng,0.4,0.5743,0.5253,0.049,0.0341,0.027,1_3,20,50
qwen3_4b,tc,eng,0.5,0.5804,0.5294,0.051,0.0327,0.008,1_3,25,50
qwen3_4b,tc,gro,0.1,0.6175,0.662,-0.0445,0.0445,0.556,0_1,5,50
qwen3_4b,tc,gro,0.2,0.6299,0.6607,-0.0308,0.0308,0.714,0_1,10,50
qwen3_4b,tc,gro,0.3,0.6436,0.6622,-0.0186,0.0186,0.847,0_1,15,50
qwen3_4b,tc,gro,0.4,0.6503,0.6613,-0.011,0.0112,0.919,0_1,20,50
qwen3_4b,tc,gro,0.5,0.6571,0.6623,-0.0052,0.0055,0.968,0_1,25,50
qwen3_4b,tc,nat,0.1,0.4962,0.5236,-0.0274,0.034,0.364,1_3,5,50
qwen3_4b,tc,nat,0.2,0.5017,0.5249,-0.0232,0.033,0.373,1_3,10,50
qwen3_4b,tc,nat,0.3,0.5045,0.5269,-0.0225,0.0346,0.387,1_3,15,50
qwen3_4b,tc,nat,0.4,0.5023,0.5248,-0.0225,0.0377,0.407,1_3,20,50
qwen3_4b,tc,nat,0.5,0.5005,0.5257,-0.0252,0.0452,0.456,1_3,25,50
qwen3_4b,wp_a,coh,0.1,0.401,0.3825,0.0184,0.028,0.153,1_5,40,400
qwen3_4b,wp_a,coh,0.2,0.4057,0.3822,0.0235,0.0224,0.107,1_5,80,400
qwen3_4b,wp_a,coh,0.3,0.4095,0.382,0.0274,0.0181,0.055,1_5,120,400
qwen3_4b,wp_a,coh,0.4,0.4128,0.3816,0.0312,0.0148,0.032,1_5,160,400
qwen3_4b,wp_a,coh,0.5,0.419,0.3846,0.0344,0.0134,0.016,1_5,200,400
qwen3_4b,wp_a,enj,0.1,0.2058,0.2187,-0.0129,0.0258,0.215,1_5,40,400
qwen3_4b,wp_a,enj,0.2,0.2038,0.2188,-0.015,0.0303,0.223,1_5,80,400
qwen3_4b,wp_a,enj,0.3,0.2029,0.2195,-0.0166,0.0345,0.229,1_5,120,400
qwen3_4b,wp_a,enj,0.4,0.2015,0.2196,-0.0181,0.0402,0.229,1_5,160,400
qwen3_4b,wp_a,enj,0.5,0.1984,0.2179,-0.0195,0.0464,0.238,1_5,200,400
qwen3_4b,wp_a,gra,0.1,0.3,0.2194,0.0806,0.0365,0.08,1_5,40,400
qwen3_4b,wp_a,gra,0.2,0.3071,0.2194,0.0877,0.0319,0.04,1_5,80,400
qwen3_4b,wp_a,gra,0.3,0.3157,0.2198,0.096,0.0248,0.007,1_5,120,400
qwen3_4b,wp_a,gra,0.4,0.3168,0.2202,0.0966,0.0249,0.002,1_5,160,400
qwen3_4b,wp_a,gra,0.5,0.3173,0.2213,0.096,0.026,0.0,1_5,200,400
qwen3_4b,wp_a,rel,0.1,0.5184,0.5153,0.0031,0.0193,0.224,1_5,40,400
qwen3_4b,wp_a,rel,0.2,0.5178,0.5154,0.0024,0.0209,0.196,1_5,80,400
qwen3_4b,wp_a,rel,0.3,0.5187,0.517,0.0017,0.0235,0.182,1_5,120,400
qwen3_4b,wp_a,rel,0.4,0.5151,0.515,0.0001,0.0268,0.147,1_5,160,400
qwen3_4b,wp_a,rel,0.5,0.5144,0.5143,0.0001,0.0308,0.134,1_5,200,400
