judge,dataset,metric,best_range,best_agreement_pct,spread_pp,regret_pp,vs_canonical_pp
gemini3_flash,summeval,coh,"[1,3]",54.0,2.9,0.46,+1.0
gemini3_flash,summeval,con,"[0,1]",51.8,2.6,0.93,+0.6
gemini3_flash,summeval,flu,"[1,3]",50.8,0.4,0.61,+0.2
gemini3_flash,summeval,rel,"[1,3]",58.3,5.1,0.50,+0.5
gemini3_flash,tc,coh,"[1,3]",62.3,13.1,1.30,+0.0
gemini3_flash,tc,eng,"[0,1]",70.3,9.2,2.82,+5.9
gemini3_flash,tc,gro,"[0,10]",54.8,3.9,1.77,+3.9
gemini3_flash,tc,nat,"[1,5]",69.7,7.8,1.43,+0.9
gemini3_flash,newsroom,coh,"[1,5]",61.4,2.8,2.53,+0.0
gemini3_flash,newsroom,flu,"[0,10]",50.1,3.3,1.51,+0.9
gemini3_flash,newsroom,inf,"[0,1]",57.5,6.9,1.40,+0.7
gemini3_flash,newsroom,rel,"[0,1]",77.7,13.1,1.95,+7.1
gemini3_flash,wp_a,coh,"[0,1]",60.7,11.8,3.57,+11.8
gemini3_flash,wp_a,enj,"[1,3]",54.5,54.5,1.81,+2.2
gemini3_flash,wp_a,gra,"[0,10]",53.1,5.5,5.84,+3.1
gemini3_flash,wp_a,rel,"[0,10]",60.6,7.3,3.74,+5.1
gemini31_pro,summeval,coh,"[1,3]",87.2,17.2,0.30,+1.8
gemini31_pro,summeval,con,"[1,5]",79.1,13.1,0.04,+0.0
gemini31_pro,summeval,flu,"[1,3]",75.7,14.9,0.39,+5.3
gemini31_pro,summeval,rel,"[1,5]",79.0,12.6,0.40,+0.0
gemini31_pro,tc,coh,"[1,3]",89.6,11.6,1.81,+0.0
gemini31_pro,tc,eng,"[1,3]",90.4,18.0,1.70,+0.0
gemini31_pro,tc,gro,"[1,3]",78.7,11.9,4.11,+7.2
gemini31_pro,tc,nat,"[1,3]",89.6,17.1,1.18,+0.0
gemini31_pro,newsroom,coh,"[1,5]",95.6,12.0,0.93,+0.0
gemini31_pro,newsroom,flu,"[1,3]",83.8,11.3,1.05,+0.8
gemini31_pro,newsroom,inf,"[1,5]",92.2,10.4,1.26,+0.0
gemini31_pro,newsroom,rel,"[1,3]",89.2,8.6,1.92,+4.2
gemini31_pro,wp_a,coh,"[1,3]",98.2,48.2,1.59,+0.5
gemini31_pro,wp_a,enj,"[1,3]",98.8,22.6,0.95,+8.5
gemini31_pro,wp_a,gra,"[1,3]",82.6,15.4,4.83,+0.8
gemini31_pro,wp_a,rel,"[1,5]",91.6,7.2,4.31,+0.0
gemma2_9b,summeval,coh,"[1,3]",88.4,3.6,0.25,+0.4
gemma2_9b,summeval,con,"[1,5]",89.8,2.9,0.36,+0.0
gemma2_9b,summeval,flu,"[1,3]",72.5,2.0,0.47,+1.1
gemma2_9b,summeval,rel,"[1,5]",89.2,4.9,0.14,+0.0
gemma2_9b,tc,coh,"[1,3]",94.8,6.2,0.56,+0.0
gemma2_9b,tc,eng,"[1,3]",93.1,4.2,0.88,+0.0
gemma2_9b,tc,gro,"[1,3]",93.7,6.8,0.83,+3.5
gemma2_9b,tc,nat,"[1,3]",90.3,3.6,0.85,+0.0
gemma2_9b,newsroom,coh,"[1,3]",93.2,7.8,0.73,+0.7
gemma2_9b,newsroom,flu,"[1,3]",90.0,9.1,0.92,+1.7
gemma2_9b,newsroom,inf,"[1,3]",94.2,7.7,0.46,+1.3
gemma2_9b,newsroom,rel,"[1,5]",89.5,5.5,0.53,+0.0
gemma2_9b,wp_a,coh,"[1,3]",95.2,6.5,1.63,+0.5
gemma2_9b,wp_a,enj,"[1,3]",95.2,4.4,1.83,+2.5
gemma2_9b,wp_a,gra,"[1,3]",94.6,3.1,1.75,+1.3
gemma2_9b,wp_a,rel,"[1,5]",92.6,7.5,1.72,+0.0
llama31_8b,summeval,coh,"[1,5]",86.9,9.7,1.41,+0.0
llama31_8b,summeval,con,"[0,1]",82.2,3.8,1.25,+1.3
llama31_8b,summeval,flu,"[0,10]",58.1,5.0,2.91,+1.1
