judge,dataset,regret_5pct,regret_10pct,regret_20pct,regret_50pct
gemini3_flash,summeval,1.19,1.08,1.00,1.04
gemini3_flash,tc,3.67,3.24,2.95,3.21
gemini3_flash,newsroom,3.63,3.13,2.96,3.06
gemini3_flash,wp_a,6.59,6.51,6.89,8.85
gemini31_pro,summeval,2.14,1.42,0.96,0.58
gemini31_pro,tc,6.84,5.29,4.07,3.01
gemini31_pro,newsroom,4.09,3.22,2.59,2.31
gemini31_pro,wp_a,13.46,9.12,5.76,5.16
gemma2_9b,summeval,1.37,1.01,0.64,0.31
gemma2_9b,tc,2.44,1.90,1.57,1.40
gemma2_9b,newsroom,3.37,2.44,1.59,1.01
gemma2_9b,wp_a,4.22,2.94,2.33,2.12
llama31_8b,summeval,4.57,4.70,5.24,5.84
llama31_8b,tc,11.35,13.26,16.17,30.79
llama31_8b,newsroom,8.40,8.61,10.63,19.79
llama31_8b,wp_a,27.43,26.14,21.70,19.39
qwen3_4b,summeval,4.25,3.98,3.25,2.57
qwen3_4b,tc,7.18,6.31,5.10,4.41
qwen3_4b,newsroom,4.23,3.62,3.78,4.99
qwen3_4b,wp_a,17.12,18.28,18.22,17.02
mistral_7b,summeval,1.71,1.23,0.91,0.58
mistral_7b,tc,2.93,2.62,2.32,2.08
mistral_7b,newsroom,2.90,2.61,2.43,2.56
mistral_7b,wp_a,8.90,8.75,8.14,6.81
gemma3_27b,summeval,1.39,0.85,0.46,0.29
gemma3_27b,tc,2.87,2.29,1.83,1.71
gemma3_27b,newsroom,2.21,1.83,1.60,1.56
gemma3_27b,wp_a,2.73,2.98,3.03,3.01
llama31_70b,summeval,8.53,9.21,9.77,13.43
llama31_70b,tc,8.72,9.96,12.31,18.41
llama31_70b,newsroom,9.44,10.76,14.33,21.63
llama31_70b,wp_a,8.71,11.77,15.96,32.55
