model,dataset,metric,rmin,rmax,is_canon,pearson,spearman,kendalltau,n_corr
gemma2_9b,summeval,coh,0,1,False,0.627595,0.607015,0.510598,100
gemma2_9b,summeval,coh,1,3,False,0.582618,0.581327,0.500693,100
gemma2_9b,summeval,coh,1,5,True,0.633063,0.623041,0.537568,100
gemma2_9b,summeval,coh,0,10,False,0.635645,0.624735,0.52697,100
gemma2_9b,summeval,coh,0,100,False,0.623179,0.619063,0.519883,100
gemma2_9b,summeval,con,0,1,False,0.550236,0.472224,0.423389,96
gemma2_9b,summeval,con,1,3,False,0.536868,0.464067,0.421325,96
gemma2_9b,summeval,con,1,5,True,0.539502,0.481027,0.441219,96
gemma2_9b,summeval,con,0,10,False,0.567312,0.470593,0.420549,96
gemma2_9b,summeval,con,0,100,False,0.547128,0.464991,0.419864,96
gemma2_9b,summeval,flu,0,1,False,0.376856,0.400411,0.36026,97
gemma2_9b,summeval,flu,1,3,False,0.393139,0.372183,0.340605,97
gemma2_9b,summeval,flu,1,5,True,0.362307,0.363253,0.330279,97
gemma2_9b,summeval,flu,0,10,False,0.363169,0.386738,0.347306,97
gemma2_9b,summeval,flu,0,100,False,0.429922,0.395822,0.351015,97
gemma2_9b,summeval,rel,0,1,False,0.575208,0.544636,0.457458,100
gemma2_9b,summeval,rel,1,3,False,0.564779,0.538378,0.46184,100
gemma2_9b,summeval,rel,1,5,True,0.562729,0.539189,0.46509,100
gemma2_9b,summeval,rel,0,10,False,0.565545,0.544439,0.459934,100
gemma2_9b,summeval,rel,0,100,False,0.57168,0.540539,0.457154,100
gemma2_9b,newsroom,coh,0,1,False,0.557604,0.581231,0.517045,59
gemma2_9b,newsroom,coh,1,3,False,0.444887,0.469993,0.417959,53
gemma2_9b,newsroom,coh,1,5,True,0.456696,0.467178,0.412721,60
gemma2_9b,newsroom,coh,0,10,False,0.538095,0.561784,0.494799,60
gemma2_9b,newsroom,coh,0,100,False,0.544435,0.567746,0.495887,60
gemma2_9b,newsroom,flu,0,1,False,0.57315,0.577523,0.499296,60
gemma2_9b,newsroom,flu,1,3,False,0.545707,0.540621,0.483187,53
gemma2_9b,newsroom,flu,1,5,True,0.585374,0.579339,0.513291,57
gemma2_9b,newsroom,flu,0,10,False,0.582608,0.592334,0.521407,60
gemma2_9b,newsroom,flu,0,100,False,0.605441,0.590683,0.510019,60
gemma2_9b,newsroom,inf,0,1,False,0.519651,0.519739,0.453645,60
gemma2_9b,newsroom,inf,1,3,False,0.452995,0.449366,0.402551,58
gemma2_9b,newsroom,inf,1,5,True,0.492412,0.492993,0.436816,60
gemma2_9b,newsroom,inf,0,10,False,0.533314,0.546147,0.465803,60
gemma2_9b,newsroom,inf,0,100,False,0.551418,0.538116,0.46112,60
gemma2_9b,newsroom,rel,0,1,False,0.502737,0.501777,0.424515,60
gemma2_9b,newsroom,rel,1,3,False,0.364824,0.368946,0.321695,60
gemma2_9b,newsroom,rel,1,5,True,0.428913,0.40847,0.356623,60
gemma2_9b,newsroom,rel,0,10,False,0.512692,0.494511,0.418402,60
gemma2_9b,newsroom,rel,0,100,False,0.519394,0.492024,0.418926,60
gemma2_9b,tc,coh,0,1,True,0.563185,0.584498,0.521621,49
gemma2_9b,tc,coh,1,3,False,0.584104,0.589063,0.545737,48
gemma2_9b,tc,coh,1,5,False,0.589011,0.594462,0.541585,49
gemma2_9b,tc,coh,0,10,False,0.579152,0.579929,0.511856,49
gemma2_9b,tc,coh,0,100,False,0.567963,0.569818,0.505485,49
gemma2_9b,tc,eng,0,1,False,0.751941,0.764517,0.688194,49
gemma2_9b,tc,eng,1,3,True,0.726622,0.735165,0.67057,48
gemma2_9b,tc,eng,1,5,False,0.699802,0.699674,0.625705,49
gemma2_9b,tc,eng,0,10,False,0.770116,0.760107,0.684864,49
