metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.4700306223462474,0.48906680444505496,0.4378409556246353,1
coh,1,3,2,standard,False,0.5379756697733256,0.5671438332254979,0.5135735501360215,1
coh,1,5,4,canonical,True,0.46619612668391064,0.4855163959682751,0.435983705130378,1
coh,0,10,10,standard,False,0.49921394909550215,0.5445997059321211,0.4853888478067,1
coh,0,100,100,standard,False,0.49800026807030806,0.5355619259859632,0.47789297372751427,1
flu,0,1,1,standard,False,0.4100723538370315,0.46468278993837614,0.3921656040297617,1
flu,1,3,2,standard,False,0.40365978542966713,0.4597703850952135,0.3932552935103556,1
flu,1,5,4,canonical,True,0.43485510101011143,0.4490229875393793,0.3790723820238297,1
flu,0,10,10,standard,False,0.4590732131125215,0.47999274128694425,0.3948882227023228,1
flu,0,100,100,standard,False,0.4825023590760236,0.4873042314875948,0.40045953708192095,1
inf,0,1,1,standard,False,0.437356224253773,0.3898151581017198,0.3530474332164474,1
inf,1,3,2,standard,False,0.43254555943316453,0.3873414073137508,0.3508612474055863,1
inf,1,5,4,canonical,True,0.42337800980205775,0.3776750493416993,0.3425819272914584,1
inf,0,10,10,standard,False,0.46530114334610434,0.4047064414043992,0.353435027536006,1
inf,0,100,100,standard,False,0.44454289737841496,0.3816933877167457,0.33974078597911317,1
rel,0,1,1,standard,False,0.39724926690896534,0.41686542097730095,0.35227867514222616,1
rel,1,3,2,standard,False,0.275311031452939,0.29449755531072397,0.26244192622332946,1
rel,1,5,4,canonical,True,0.29166525785012826,0.2965897215281251,0.26352113184895537,1
rel,0,10,10,standard,False,0.41779258367958594,0.43584703173953554,0.37210680976014215,1
rel,0,100,100,standard,False,0.4112548668087936,0.44951453945095127,0.3834402324841279,1
