metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.6951498090620818,0.6912864213839655,0.5867974670503103,1
coh,1,3,2,standard,False,0.6762767657456726,0.6662052056884209,0.5757480680439447,1
coh,1,5,4,canonical,True,0.6800629216081164,0.668728054968066,0.5717403007885927,1
coh,0,10,10,standard,False,0.6975090831005736,0.6856156558754667,0.5759869631585376,1
coh,0,100,100,standard,False,0.6965884075494465,0.681585726780628,0.5734600107304368,1
con,0,1,1,standard,False,0.6787644780484409,0.6665662889887407,0.6463079500363954,1
con,1,3,2,standard,False,0.7123726230854062,0.6989609956772739,0.6792092124988349,1
con,1,5,4,canonical,True,0.7296894246046371,0.7024554133980853,0.6807469686684626,1
con,0,10,10,standard,False,0.734655759474608,0.6875478004255015,0.6667558249820379,1
con,0,100,100,standard,False,0.7489519819604848,0.6974606601489232,0.6757668210566576,1
flu,0,1,1,standard,False,0.45814188429085684,0.43074840350935406,0.3812336266128545,1
flu,1,3,2,standard,False,0.3728087668699713,0.36950662104930887,0.34246917195785664,1
flu,1,5,4,canonical,True,0.4579133479552193,0.4294825099156365,0.3957061990992794,1
flu,0,10,10,standard,False,0.4873627883680471,0.4538802526611825,0.4056807135358262,1
flu,0,100,100,standard,False,0.5635467790387735,0.46601619298127245,0.4153026464678151,1
rel,0,1,1,standard,False,0.564640659708956,0.5546335704217339,0.4608148475587184,1
rel,1,3,2,standard,False,0.5241855509177704,0.5427518320499708,0.4666306893973586,1
rel,1,5,4,canonical,True,0.577545273948356,0.5676262799154855,0.4834281747878904,1
rel,0,10,10,standard,False,0.5863193975209812,0.5671216934809401,0.4796740091943106,1
rel,0,100,100,standard,False,0.5827145847456621,0.5679655167111407,0.47329577911367354,1
