metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,canonical,True,0.6993419570619521,0.7197288761897119,0.6817318153359944,1
coh,1,3,2,standard,False,0.6521641319258523,0.660440654836154,0.6284691816393919,1
coh,1,5,4,standard,False,0.6990139334124076,0.7113843700279091,0.6722944406046341,1
coh,0,10,10,standard,False,0.6979744437252275,0.6937961213802437,0.6475162199329283,1
coh,0,100,100,standard,False,0.7044425599580278,0.7113170416092096,0.6635316952781273,1
eng,0,1,1,standard,False,0.7540455242745776,0.7654328172421277,0.6998609911975658,1
eng,1,3,2,canonical,True,0.7060760627589349,0.7199853474357963,0.6582708314137551,1
eng,1,5,4,standard,False,0.7430910038376786,0.7810955816359341,0.71429152363058,1
eng,0,10,10,standard,False,0.7950087090399252,0.7944041301970131,0.7252329911929022,1
eng,0,100,100,standard,False,0.7861563879703446,0.7931061953767522,0.7232858362646415,1
gro,0,1,1,canonical,True,0.49399268286734266,0.4849467183103798,0.46519504139414164,1
gro,1,3,2,standard,False,0.6285720430863954,0.6153041103773588,0.5926976834100939,1
gro,1,5,4,standard,False,0.5435090897816856,0.5223257519089003,0.49772923513312356,1
gro,0,10,10,standard,False,0.6045774504055313,0.5696011734922146,0.5425007372266795,1
gro,0,100,100,standard,False,0.5773896319535358,0.5407137887653136,0.5195988936693473,1
nat,0,1,1,standard,False,0.6608984445725077,0.6727783485562501,0.6103835324217517,1
nat,1,3,2,canonical,True,0.6948634236500023,0.6897428108461228,0.6316519531151926,1
nat,1,5,4,standard,False,0.657798978122519,0.6752054625919741,0.6167928357371121,1
nat,0,10,10,standard,False,0.6688104491723584,0.6525581952519801,0.5778741178476221,1
nat,0,100,100,standard,False,0.7488776472816694,0.7194103507578978,0.6412481162680849,1
