metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.6200979864971419,0.6341695510522048,0.5039018325828348,1
coh,1,3,2,standard,False,0.5878533989512784,0.5992383581750556,0.5107339358278279,1
coh,1,5,4,canonical,True,0.6268193479694277,0.6428792672866332,0.5306251769150668,1
coh,0,10,10,standard,False,0.6230113662448958,0.6334924623322713,0.5086408284171793,1
coh,0,100,100,standard,False,0.6030857109704432,0.6312275350202741,0.5061804803575074,1
enj,0,1,1,standard,False,0.4812316420864781,0.527708357865147,0.41516816706870996,1
enj,1,3,2,standard,False,0.4925656338091542,0.5300649247474366,0.4324102121738002,1
enj,1,5,4,canonical,True,0.511837686125492,0.5404475314247357,0.4347270438401662,1
enj,0,10,10,standard,False,0.5081209273863938,0.535420847826987,0.4164609002445141,1
enj,0,100,100,standard,False,0.5203784879850045,0.5266633531863748,0.40754989890648996,1
gra,0,1,1,standard,False,0.06876111339557898,0.5627066848495095,0.4770888183028975,1
gra,1,3,2,standard,False,0.3052167647105736,0.5473679729910395,0.46957856972865963,1
gra,1,5,4,canonical,True,0.16257059073619357,0.6173289645067126,0.521255153847821,1
gra,0,10,10,standard,False,0.5529734276436922,0.5569733289351957,0.46812898732874314,1
gra,0,100,100,standard,False,0.5507108334734001,0.6283815721429954,0.5217531413126177,1
rel,0,1,1,standard,False,0.6060844815211905,0.6048878717067746,0.485213786641078,1
rel,1,3,2,standard,False,0.5260932565837375,0.5146066603746912,0.43322744132923213,1
rel,1,5,4,canonical,True,0.596230750172642,0.5938285857784122,0.4889129074860908,1
rel,0,10,10,standard,False,0.6133560462115688,0.6310329274962019,0.5079005697814435,1
rel,0,100,100,standard,False,0.598289941794059,0.6163720401042163,0.495044552182265,1
