metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.606316546510816,0.5950719155244738,0.5310621110511858,1
coh,1,3,2,standard,False,0.5122159189641947,0.5327798147596002,0.4803016382745558,1
coh,1,5,4,canonical,True,0.526403643543566,0.5342620334224395,0.4785579096386973,1
coh,0,10,10,standard,False,0.5891448831765802,0.63417470827323,0.5614091504378801,1
coh,0,100,100,standard,False,0.6136403037791542,0.6262021763430123,0.5445067732932871,1
flu,0,1,1,standard,False,0.3988341181700926,0.3880021998310545,0.3333570577780522,1
flu,1,3,2,standard,False,0.3815054252264074,0.401135671362735,0.35722952154531856,1
flu,1,5,4,canonical,True,0.40096755813329493,0.39524740472981007,0.35090314854246246,1
flu,0,10,10,standard,False,0.387717175068688,0.3553662356371378,0.29957041135183504,1
flu,0,100,100,standard,False,0.3439156987999701,0.36805125697949964,0.3105016323204738,1
inf,0,1,1,standard,False,0.6287660555185728,0.5051242444769796,0.4371340224475342,1
inf,1,3,2,standard,False,0.5202051195447291,0.4397610250480282,0.39594900642179337,1
inf,1,5,4,canonical,True,0.559238566533814,0.4845593573727698,0.4271839029429942,1
inf,0,10,10,standard,False,0.6365328330364783,0.5330681429618969,0.463304536640394,1
inf,0,100,100,standard,False,0.643866206466991,0.5118836186046684,0.4360359368190311,1
rel,0,1,1,standard,False,0.6362779559516516,0.5524561818424316,0.47126219467133107,1
rel,1,3,2,standard,False,0.3613106565871653,0.36320324797256626,0.3141413166364696,1
rel,1,5,4,canonical,True,0.5298615411144774,0.4931869348238351,0.42844825057881714,1
rel,0,10,10,standard,False,0.612718330968758,0.5329466552938802,0.4569522531524516,1
rel,0,100,100,standard,False,0.61156862117632,0.5186236973148131,0.4361029616035186,1
