metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.6557159113791108,0.6589636430846757,0.5574675794748996,1
coh,1,3,2,standard,False,0.6431873553435385,0.6335152222843248,0.5498214356366011,1
coh,1,5,4,canonical,True,0.6563805681584034,0.6507510003832061,0.5592452342662898,1
coh,0,10,10,standard,False,0.6602631717045573,0.6727144889282985,0.568023776679108,1
coh,0,100,100,standard,False,0.635838652615375,0.6605876737191595,0.5525066803929898,1
con,0,1,1,standard,False,0.7362661321296129,0.6937623466675453,0.6652798360796385,1
con,1,3,2,standard,False,0.7290012254613315,0.68054225902488,0.6586802255072577,1
con,1,5,4,canonical,True,0.7593471250829079,0.6966884754864304,0.6734264947552332,1
con,0,10,10,standard,False,0.7453902929542631,0.6843321622554319,0.6556197554111259,1
con,0,100,100,standard,False,0.7461505047602051,0.699109724541024,0.671395099430228,1
flu,0,1,1,standard,False,0.6926047808516914,0.5443506090134377,0.5082307065475549,1
flu,1,3,2,standard,False,0.690455313112524,0.6089521554495345,0.5837699255581239,1
flu,1,5,4,canonical,True,0.679851008300174,0.5918775839663971,0.5567166145356268,1
flu,0,10,10,standard,False,0.6746609829947747,0.5298015571635847,0.48333610896551177,1
flu,0,100,100,standard,False,0.6704207693693556,0.5355807548727065,0.4932833206975775,1
rel,0,1,1,standard,False,0.5929346113910864,0.5814953369465556,0.48845311878384096,1
rel,1,3,2,standard,False,0.554208552186668,0.5322641866327061,0.46417267361404224,1
rel,1,5,4,canonical,True,0.5685218626512425,0.5454032698733589,0.4694953682535842,1
rel,0,10,10,standard,False,0.5681261115267885,0.5617789538020613,0.4695300776173887,1
rel,0,100,100,standard,False,0.5805061058238431,0.5844808435958712,0.49067258741608305,1
