metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,canonical,True,0.6758753675639457,0.6484950206234317,0.5907464426316673,1
coh,1,3,2,standard,False,0.6571816572431431,0.652989945022871,0.6130676832182379,1
coh,1,5,4,standard,False,0.6774229215905986,0.6505634122360129,0.6042811052015811,1
coh,0,10,10,standard,False,0.6566524328046099,0.6175686723020685,0.5468890912761969,1
coh,0,100,100,standard,False,0.6552865983068155,0.602970893789399,0.5385218663913174,1
eng,0,1,1,standard,False,0.7701781382713954,0.7602861042795357,0.68012674006076,1
eng,1,3,2,canonical,True,0.7635392188513033,0.7626846821728391,0.69750676229029,1
eng,1,5,4,standard,False,0.7659237069618915,0.7676347668522476,0.698345802234599,1
eng,0,10,10,standard,False,0.7801361900653488,0.7611116319796568,0.6846246821053371,1
eng,0,100,100,standard,False,0.7529477940789397,0.755249850050452,0.6802325327609556,1
gro,0,1,1,canonical,True,0.6177193574786413,0.5638840345318851,0.5282650711549927,1
gro,1,3,2,standard,False,0.6437522596036129,0.6200493744009193,0.5956883775916448,1
gro,1,5,4,standard,False,0.6344933377760241,0.5984822141699636,0.5671644924580925,1
gro,0,10,10,standard,False,0.589001963764715,0.5139845549903684,0.4828017145929064,1
gro,0,100,100,standard,False,0.6095495288292547,0.5425971013335235,0.5125745292326995,1
nat,0,1,1,standard,False,0.7128014608080965,0.7005514000972904,0.6059527121627333,1
nat,1,3,2,canonical,True,0.692209419088107,0.6893383091457512,0.618148743163047,1
nat,1,5,4,standard,False,0.7127297598905223,0.6972450661487944,0.6183423253426714,1
nat,0,10,10,standard,False,0.6926252576042882,0.66360154601562,0.5737812862643408,1
nat,0,100,100,standard,False,0.6642578690967161,0.6365779042205016,0.5460780879362526,1
