metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.6054417541619626,0.6120804578281578,0.4833067360143467,1
coh,1,3,2,standard,False,0.5619953941995344,0.5736230086820889,0.48136133655688423,1
coh,1,5,4,canonical,True,0.6010721492595029,0.6079428773481947,0.4928287020631222,1
coh,0,10,10,standard,False,0.5901074817939564,0.6067912562995063,0.47638223831272547,1
coh,0,100,100,standard,False,0.5591529544593455,0.6028746612407657,0.47686908778292153,1
enj,0,1,1,standard,False,0.5216476520831992,0.5417183902064482,0.4239734388251908,1
enj,1,3,2,standard,False,0.4973206337387676,0.5125753379806695,0.4183654888201279,1
enj,1,5,4,canonical,True,0.531387003083033,0.5368052153910381,0.42314806225020496,1
enj,0,10,10,standard,False,0.5353817164602777,0.540289983612056,0.4088093580153147,1
enj,0,100,100,standard,False,0.5043103171823897,0.5222610991795386,0.4010822773731858,1
gra,0,1,1,standard,False,0.4733655638095076,0.5121306091015374,0.41453744588293384,1
gra,1,3,2,standard,False,0.45538456899825397,0.4787317591368271,0.40137951885277884,1
gra,1,5,4,canonical,True,0.4508364396984856,0.46995307403554315,0.38681337133029803,1
gra,0,10,10,standard,False,0.47016652303740625,0.5492387545089619,0.44527624698017065,1
gra,0,100,100,standard,False,0.39465061398711737,0.5185264828362621,0.42535394280693734,1
rel,0,1,1,standard,False,0.661286668670295,0.6625155626302374,0.5254377515417851,1
rel,1,3,2,standard,False,0.6007533701456492,0.5982218231503613,0.49390380950441787,1
rel,1,5,4,canonical,True,0.6301573280573756,0.6303374525346489,0.5049691532086511,1
rel,0,10,10,standard,False,0.6291647433994552,0.6458007943966152,0.5034417905901007,1
rel,0,100,100,standard,False,0.5871749855746831,0.6182766177865177,0.4801142410333356,1
