metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.5427922979577966,0.5648220902317725,0.49593450294366487,3
coh,1,3,2,standard,False,0.4351781156725152,0.46769885335662503,0.41538746098820417,3
coh,1,5,4,canonical,True,0.4572677179445262,0.4741578439782412,0.4163805443577953,3
coh,0,10,10,standard,False,0.522259737035522,0.5398042779950597,0.47056023478609266,3
coh,0,100,100,standard,False,0.5237510499731225,0.532182298238837,0.4610731345614423,3
flu,0,1,1,standard,False,0.5561803481476986,0.5516352585076413,0.47388062839320577,3
flu,1,3,2,standard,False,0.5213255804197953,0.5225676876957853,0.46557064791852554,3
flu,1,5,4,canonical,True,0.5491453361625036,0.5461843862605058,0.4813513570980115,3
flu,0,10,10,standard,False,0.5891393997132689,0.5969774909998435,0.5109734890854303,3
flu,0,100,100,standard,False,0.6031328871271652,0.5795435926002768,0.4950053672798391,3
inf,0,1,1,standard,False,0.5151683300828581,0.5033186716158361,0.43126792277755044,3
inf,1,3,2,standard,False,0.42863969477622277,0.4196085148187881,0.3707774582719768,3
inf,1,5,4,canonical,True,0.48640594680847,0.4711144748015104,0.4120893765557703,3
inf,0,10,10,standard,False,0.5286533347730761,0.5264405144301335,0.4541397172386839,3
inf,0,100,100,standard,False,0.548702490687255,0.5381970315790929,0.4607366367273103,3
rel,0,1,1,standard,False,0.4916186824360964,0.48936857218751073,0.41051734319910627,3
rel,1,3,2,standard,False,0.37370755775325576,0.3711666478912748,0.32014776363799186,3
rel,1,5,4,canonical,True,0.41925900636655006,0.4071157435562341,0.3497701877759177,3
rel,0,10,10,standard,False,0.5008789782884695,0.48280859989886254,0.40830350777275887,3
rel,0,100,100,standard,False,0.508201837403405,0.48339010585900094,0.4082292676699333,3
