metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.6031405652728304,0.5873313909202893,0.48367457412853865,3
coh,1,3,2,standard,False,0.5557947757206366,0.5452029709759563,0.46363148992823344,3
coh,1,5,4,canonical,True,0.6236802792047677,0.613393432897043,0.5207911018812098,3
coh,0,10,10,standard,False,0.6100322668143682,0.5954022807182335,0.4905343973666601,3
coh,0,100,100,standard,False,0.5894108714904404,0.5824908000756959,0.4757981107093405,3
con,0,1,1,standard,False,0.519964372438563,0.45010380015520357,0.3992368794229566,3
con,1,3,2,standard,False,0.5198107802614716,0.45728761490013997,0.41226876345653257,3
con,1,5,4,canonical,True,0.5299144433443205,0.45893615476172417,0.4144932984078291,3
con,0,10,10,standard,False,0.5477322395888534,0.4606392349545702,0.4045693314988477,3
con,0,100,100,standard,False,0.5351308892814348,0.4470005781824608,0.3939493816494435,3
flu,0,1,1,standard,False,0.34591657099979684,0.3650297451009963,0.32267749466606366,3
flu,1,3,2,standard,False,0.3520016202764782,0.33360074636669507,0.3016996464860033,3
flu,1,5,4,canonical,True,0.32934051981826534,0.3165231599212394,0.28038850516246827,3
flu,0,10,10,standard,False,0.30395639990229717,0.31417139603201666,0.27015790076055696,3
flu,0,100,100,standard,False,0.37886024820095526,0.34170532914446256,0.29306069989458355,3
rel,0,1,1,standard,False,0.5434708347840643,0.5149560614078249,0.4251946595014349,3
rel,1,3,2,standard,False,0.5264673814652959,0.5033205652475027,0.42260447089083136,3
rel,1,5,4,canonical,True,0.539127427113944,0.5213091680785921,0.4424449555570598,3
rel,0,10,10,standard,False,0.5479514720599873,0.5150074986739069,0.42531048089739487,3
rel,0,100,100,standard,False,0.5344168169461782,0.5024590530097383,0.4125573302685939,3
