metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,canonical,True,0.5620138098561273,0.565423237561963,0.5007706258182711,3
coh,1,3,2,standard,False,0.5544357522319544,0.5630523613582411,0.5213951658390354,3
coh,1,5,4,standard,False,0.585435171717454,0.5840537917057445,0.5319118944689408,3
coh,0,10,10,standard,False,0.5502974596109936,0.5445747505242143,0.4782114604140335,3
coh,0,100,100,standard,False,0.5464524808786038,0.5384920681370295,0.4643810794902174,3
eng,0,1,1,standard,False,0.7336692532081334,0.7290865389109832,0.6471277197272657,3
eng,1,3,2,canonical,True,0.7268712065390024,0.7294835993674065,0.6638974939989594,3
eng,1,5,4,standard,False,0.7168271590186032,0.7201163395932036,0.6425443567498741,3
eng,0,10,10,standard,False,0.7256036312999092,0.7069509049434819,0.6289536256859117,3
eng,0,100,100,standard,False,0.7150693431741192,0.6974702319149534,0.6104826185302052,3
gro,0,1,1,canonical,True,0.658802693874036,0.633244969434288,0.5842592990976919,3
gro,1,3,2,standard,False,0.6203873963500061,0.6127686597531,0.5797334185875694,3
gro,1,5,4,standard,False,0.6427842981273258,0.6340984148744976,0.5899268237597838,3
gro,0,10,10,standard,False,0.6617705192771681,0.6239645845885193,0.5656288004063885,3
gro,0,100,100,standard,False,0.6703864314081187,0.6381090692103474,0.5747550786879356,3
nat,0,1,1,standard,False,0.6323122848164924,0.624143233608438,0.5441986919149334,3
nat,1,3,2,canonical,True,0.5880567299152335,0.5916817936864509,0.5269459584723714,3
nat,1,5,4,standard,False,0.5791184641902898,0.5866832019822433,0.5166555861932287,3
nat,0,10,10,standard,False,0.6031440515674649,0.5769875356077794,0.4850126848103364,3
nat,0,100,100,standard,False,0.6368590777144885,0.6010242197353041,0.5172921201893941,3
