metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.381494916546017,0.3764487904152138,0.3232929745272111,3
coh,1,3,2,standard,False,0.381870063625331,0.3768138824488955,0.33529324405486954,3
coh,1,5,4,canonical,True,0.34440994925036916,0.34327071143240717,0.30504754133610357,3
coh,0,10,10,standard,False,0.3811757599967352,0.35895815766027644,0.30469697187077144,3
coh,0,100,100,standard,False,0.4199047155245073,0.415609230311216,0.36029782938622584,3
flu,0,1,1,standard,False,0.4263675288342334,0.4102760636116143,0.3549035292802354,3
flu,1,3,2,standard,False,0.3582854995831999,0.33420313245089045,0.29217031330981547,3
flu,1,5,4,canonical,True,0.39340454136126607,0.3944349896705262,0.3539712250936444,3
flu,0,10,10,standard,False,0.307855522076341,0.305138717497615,0.27743326948517805,3
flu,0,100,100,standard,False,0.3879175190376088,0.3632608001547504,0.32395693998653746,3
inf,0,1,1,standard,False,0.39378958318921153,0.3489709736218307,0.29546185344932374,3
inf,1,3,2,standard,False,0.3563414587811788,0.3275797998422742,0.2888690094773921,3
inf,1,5,4,canonical,True,0.3169735460754661,0.2912482200969308,0.2527734209129761,3
inf,0,10,10,standard,False,0.3830402970076596,0.33896576291214364,0.2866886358613524,3
inf,0,100,100,standard,False,0.3992603731682934,0.3657823541584296,0.3073644633338984,3
rel,0,1,1,standard,False,0.331575514444374,0.26406403924548144,0.22227365058243165,3
rel,1,3,2,standard,False,0.378963468537363,0.33153913528629514,0.2917599778237053,3
rel,1,5,4,canonical,True,0.330167219197218,0.29630103769686195,0.2644758685294614,3
rel,0,10,10,standard,False,0.37680874937577147,0.28462203372613387,0.24085256463921775,3
rel,0,100,100,standard,False,0.4212134914263354,0.36642864397095964,0.3090538646166307,3
