metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.4453134227993864,0.42063315422978476,0.3551901744226911,3
coh,1,3,2,standard,False,0.2871130960918454,0.26758873092753727,0.2319959968779212,3
coh,1,5,4,canonical,True,0.263545626924283,0.23611407600466783,0.2004594565303869,3
coh,0,10,10,standard,False,0.3742247592322228,0.3294585061947747,0.2649168174535919,3
coh,0,100,100,standard,False,0.41273888963173216,0.3566256393270555,0.2771082974452252,3
con,0,1,1,standard,False,0.5235418848142644,0.42673212555012247,0.3915202226629207,3
con,1,3,2,standard,False,0.3666119962852701,0.3208856855362256,0.2972010923247308,3
con,1,5,4,canonical,True,0.40726396313194607,0.333866893597444,0.31707364460408854,3
con,0,10,10,standard,False,0.5160958911395285,0.3937590813410343,0.3528288723636972,3
con,0,100,100,standard,False,0.5006974993027126,0.3894527340932159,0.3370089703155101,3
flu,0,1,1,standard,False,0.2633088903930727,0.23086690756877548,0.20490992427860064,3
flu,1,3,2,standard,False,0.1803077356039082,0.16288163479448547,0.14506734425433707,3
flu,1,5,4,canonical,True,0.21856713270308678,0.21314588520957523,0.18662645896792307,3
flu,0,10,10,standard,False,0.2187962030847537,0.18643412294929376,0.16215055106754123,3
flu,0,100,100,standard,False,0.2516457922074906,0.21600058848780632,0.18571535353448065,3
rel,0,1,1,standard,False,0.36103869751522,0.3250284483011829,0.27033273862760665,3
rel,1,3,2,standard,False,0.25584670675858273,0.2223366542340857,0.18834257802778046,3
rel,1,5,4,canonical,True,0.2506079875424926,0.21706988876331698,0.18933420934400233,3
rel,0,10,10,standard,False,0.30002884443399225,0.2438942311051944,0.20023737867124072,3
rel,0,100,100,standard,False,0.3422564293766163,0.2825259212694109,0.21914471950672007,3
