metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,canonical,True,0.3659830880096546,0.37562143421989913,0.33415869544068677,3
coh,1,3,2,standard,False,0.34190941947371445,0.3500137106927499,0.3158390511640819,3
coh,1,5,4,standard,False,0.35162427190371104,0.33821082505632566,0.3097519741536625,3
coh,0,10,10,standard,False,0.37508601904624944,0.35726428311425856,0.3156578068139774,3
coh,0,100,100,standard,False,0.342808431156808,0.3145889198263065,0.26427010334243556,3
eng,0,1,1,standard,False,0.48679697864269605,0.4927063773870872,0.43149430133545397,3
eng,1,3,2,canonical,True,0.44671450482744085,0.4386551665763365,0.39708463892221496,3
eng,1,5,4,standard,False,0.46856542903297876,0.4671099322398599,0.41246879084654003,3
eng,0,10,10,standard,False,0.4608189384702183,0.4595218783731254,0.40218322209706264,3
eng,0,100,100,standard,False,0.5080143765635999,0.4759526543154135,0.4136686067061716,3
gro,0,1,1,canonical,True,0.49227738487633715,0.48273533014781406,0.4388681213030636,3
gro,1,3,2,standard,False,0.36006331541137665,0.368155097300487,0.34745175649817467,3
gro,1,5,4,standard,False,0.4011750960653315,0.3871846441784146,0.3621912173811115,3
gro,0,10,10,standard,False,0.4745230553566884,0.4575711649563749,0.41567960620627237,3
gro,0,100,100,standard,False,0.5933565239054625,0.547478490566173,0.5027114343082931,3
nat,0,1,1,standard,False,0.39243828172012746,0.38936705710359715,0.3313635053141874,3
nat,1,3,2,canonical,True,0.3571388831161512,0.36239136514860276,0.33117382833001935,3
nat,1,5,4,standard,False,0.27251686669981795,0.2860146703829891,0.2559152925442188,3
nat,0,10,10,standard,False,0.36330874224364323,0.3541911229676524,0.2951332805241864,3
nat,0,100,100,standard,False,0.4214485011517628,0.39242065269028875,0.3229940534209768,3
