metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.3284101854589075,0.3445046215573176,0.26709323402514046,3
coh,1,3,2,standard,False,0.247734915843509,0.26144013853007403,0.21278238436178668,3
coh,1,5,4,canonical,True,0.2973695483144387,0.29684678932644953,0.23035257971147802,3
coh,0,10,10,standard,False,0.32395334786164903,0.31826053162605167,0.23758062173060068,3
coh,0,100,100,standard,False,0.31196102844550305,0.3125302735748791,0.2296695442631267,3
enj,0,1,1,standard,False,0.14651591651953264,0.1581273096326369,0.12232572427408255,3
enj,1,3,2,standard,False,0.07737435286969797,0.0574554276154422,0.045143451639224196,3
enj,1,5,4,canonical,True,0.14752945532216385,0.148273392055978,0.11546745269102122,3
enj,0,10,10,standard,False,0.12257272478054465,0.12981486205018186,0.09463783333615271,3
enj,0,100,100,standard,False,0.16806364593522494,0.16250989232870586,0.1167168493151437,3
gra,0,1,1,standard,False,0.30167660638825256,0.35997733990391073,0.2815959704358583,3
gra,1,3,2,standard,False,0.17778048628633716,0.1974610180018748,0.15773215602361515,3
gra,1,5,4,canonical,True,0.25494367355509345,0.2570208563429376,0.20127706884167637,3
gra,0,10,10,standard,False,0.1651746564509939,0.22474503820426697,0.16639659601102785,3
gra,0,100,100,standard,False,0.2367071136341824,0.2794860085724701,0.19936730469554234,3
rel,0,1,1,standard,False,0.42787395317228044,0.4437029147985416,0.34269472721369526,3
rel,1,3,2,standard,False,0.3840764082057471,0.3939882795322223,0.31109450647948816,3
rel,1,5,4,canonical,True,0.38771805624580163,0.3815606166409648,0.29655094704910573,3
rel,0,10,10,standard,False,0.41161277378164685,0.4031268245217226,0.29590281004133856,3
rel,0,100,100,standard,False,0.4455729963314394,0.4511650188803458,0.3330486328278783,3
